학년,학기,이수구분,과목명,선수과목,비고,키워드,URL
1,1,공통교양필수,세종인을위한진로설계,,,,https://www.sejong.ac.kr/kor/college/artificial-intelligence-and-robotics.do
1,1,공통교양필수,문제해결을위한글쓰기와발표,,,,https://www.sejong.ac.kr/kor/college/artificial-intelligence-and-robotics.do
1,1,공통교양필수,우주자연인간,,,,https://www.sejong.ac.kr/kor/college/artificial-intelligence-and-robotics.do
1,1,학문기초교양필수,고급프로그래밍활용,,비공학인증,,https://www.sejong.ac.kr/kor/college/artificial-intelligence-and-robotics.do
1,1,전공기초,미적분학1,,공학인증필수,,https://www.sejong.ac.kr/kor/college/artificial-intelligence-and-robotics.do
1,1,전공기초,확률및통계,,공학인증필수,,https://www.sejong.ac.kr/kor/college/artificial-intelligence-and-robotics.do
1,1,전공기초,C프로그래밍및실습,,공학인증필수,,https://www.sejong.ac.kr/kor/college/artificial-intelligence-and-robotics.do
1,2,공통교양필수,세종인을위한진로탐색,,,,https://www.sejong.ac.kr/kor/college/artificial-intelligence-and-robotics.do
1,2,공통교양필수,서양철학:쟁점과토론,,,,https://www.sejong.ac.kr/kor/college/artificial-intelligence-and-robotics.do
1,2,공통교양필수,대학영어,,,,https://www.sejong.ac.kr/kor/college/artificial-intelligence-and-robotics.do
1,2,학문기초교양필수,인공지능과빅데이터,,비공학인증,,https://www.sejong.ac.kr/kor/college/artificial-intelligence-and-robotics.do
1,2,전공기초,공업수학1,미적분학1(필수),공학인증필수,,https://www.sejong.ac.kr/kor/college/artificial-intelligence-and-robotics.do
1,2,전공기초,선형대수,확률및통계(권장),공학인증필수,,https://www.sejong.ac.kr/kor/college/artificial-intelligence-and-robotics.do
1,2,전공기초,고급C프로그래밍및실습,C프로그래밍및실습(필수),공학인증필수,,https://www.sejong.ac.kr/kor/college/artificial-intelligence-and-robotics.do
2,1,전공필수,창의SW기초설계,,"공학인증필수, 요소설계","프로그래밍 사고, 문제 해결, 코딩 기초",https://www.sejong.ac.kr/kor/college/artificial-intelligence-and-robotics.do
2,1,전공기초,일반물리학1,,공학인증필수,"역학, 전자기학, 물리 법칙",https://www.sejong.ac.kr/kor/college/artificial-intelligence-and-robotics.do
2,1,전공선택,이산수학및프로그래밍,,,"논리, 그래프 이론, 집합론, 알고리즘 기초",https://www.sejong.ac.kr/kor/college/artificial-intelligence-and-robotics.do
2,1,전공필수,자료구조및실습,고급C프로그래밍및실습(필수),공학인증필수,"스택·큐·트리, 데이터 효율성, 알고리즘 성능",https://www.sejong.ac.kr/kor/college/artificial-intelligence-and-robotics.do
