학년,학기,이수구분,과목명,선수과목,비고,키워드,URL
1,1,공통필수,세종인을위한진로설계,,,,https://www.sejong.ac.kr/kor/college/innovation-design-major.do
1,1,공통필수,서양철학:쟁점과토론,,,,https://www.sejong.ac.kr/kor/college/innovation-design-major.do
1,1,공통필수,대학영어,,,,https://www.sejong.ac.kr/kor/college/innovation-design-major.do
1,1,전공필수,2D디자인,,,,https://www.sejong.ac.kr/kor/college/innovation-design-major.do
1,1,전공필수,3D디자인,,,,https://www.sejong.ac.kr/kor/college/innovation-design-major.do
1,2,공통필수,세종인을위한전공탐색,,,,https://www.sejong.ac.kr/kor/college/innovation-design-major.do
1,2,공통필수,문제해결을위한글쓰기와발표,,,,https://www.sejong.ac.kr/kor/college/innovation-design-major.do
1,2,공통필수,우주자연인간,,,,https://www.sejong.ac.kr/kor/college/innovation-design-major.do
1,2,전공선택,디자인전산1,,,,https://www.sejong.ac.kr/kor/college/innovation-design-major.do
1,2,전공선택,비주얼커뮤니케이션디자인1,,,,https://www.sejong.ac.kr/kor/college/innovation-design-major.do
2,1,전공필수,타이포그래피,,,"글꼴 디자인, 가독성 및 배치, 시각적 위계",https://www.sejong.ac.kr/kor/college/innovation-design-major.do
2,1,전공선택,프로덕트디자인2,,,"제품 설계 프로세스, 사용자 경험(UX), 시제품 제작",https://www.sejong.ac.kr/kor/college/innovation-design-major.do
2,1,전공선택,기초렌더링,,,"명암 및 질감 표현, 2D, 3D 시각화 기초, 디지털 드로잉",https://www.sejong.ac.kr/kor/college/innovation-design-major.do
2,1,전공선택,비주얼커뮤니케이션디자인2,,,"브랜딩, 아이덴티티 디자인, 시각 정보 전달",https://www.sejong.ac.kr/kor/college/innovation-design-major.do
2,1,전공선택,디자인인모션1,,,"모션 그래픽 기초, 타임라인 애니메이션, 영상 편집",https://www.sejong.ac.kr/kor/college/innovation-design-major.do
2,2,전공필수,타입&이미지,,,"글자와 이미지의 결합, 레이아웃 구성, 그래픽 실험",https://www.sejong.ac.kr/kor/college/innovation-design-major.do
2,2,전공선택,기초3D그래픽스,,,"3D 모델링 기초, 라이팅 및 렌더링, 공간 입체 표현",https://www.sejong.ac.kr/kor/college/innovation-design-major.do
2,2,전공선택,디자인재료및성형기법,,,"소재 특성 이해, 가공 공정, 제품 양산 기법",https://www.sejong.ac.kr/kor/college/innovation-design-major.do
