학년,학기,이수구분,과목명,선수과목,비고,키워드,URL
1,1,교양,문제해결을위한글쓰기와발표,,,,https://www.sejong.ac.kr/kor/college/computer-science-and-engineering.do
1,1,교양,우주자연인간,,,,https://www.sejong.ac.kr/kor/college/computer-science-and-engineering.do
1,1,교양,세종인을위한진로설계,,,,https://www.sejong.ac.kr/kor/college/computer-science-and-engineering.do
1,1,학문기초교양필수,고급프로그래밍활용,,,,https://www.sejong.ac.kr/kor/college/computer-science-and-engineering.do
1,1,전공기초,C프로그래밍및실습,,,,https://www.sejong.ac.kr/kor/college/computer-science-and-engineering.do
1,1,전공기초,확률및통계,,,,https://www.sejong.ac.kr/kor/college/computer-science-and-engineering.do
1,1,전공기초,미적분학1,,,,https://www.sejong.ac.kr/kor/college/computer-science-and-engineering.do
1,2,교양,대학영어,,,,https://www.sejong.ac.kr/kor/college/computer-science-and-engineering.do
1,2,교양,서양철학:쟁점과토론,,,,https://www.sejong.ac.kr/kor/college/computer-science-and-engineering.do
1,2,교양,세종인을위한전공탐색,,,,https://www.sejong.ac.kr/kor/college/computer-science-and-engineering.do
1,2,학문기초교양필수,인공지능과빅데이터,,,,https://www.sejong.ac.kr/kor/college/computer-science-and-engineering.do
1,2,전공기초,고급C프로그래밍및실습,C프로그래밍및실습(필수),,,https://www.sejong.ac.kr/kor/college/computer-science-and-engineering.do
1,2,전공기초,선형대수,,,,https://www.sejong.ac.kr/kor/college/computer-science-and-engineering.do
1,2,전공기초,공업수학1,미적분학1(필수),,,https://www.sejong.ac.kr/kor/college/computer-science-and-engineering.do
2,1,전공필수,자료구조및실습,고급C프로그래밍및실습(필수),,"스택·큐·트리, 복잡도 분석, 데이터 효율성",https://www.sejong.ac.kr/kor/college/computer-science-and-engineering.do
2,1,전공선택,디지털시스템,,,"논리 회로 설계, FPGA, Verilog, VHDL",https://www.sejong.ac.kr/kor/college/computer-science-and-engineering.do
2,1,전공선택,공학설계기초(산학프로젝트입문),,,"설계 프로세스, 창의적 문제 해결, 기초 설계 실무",https://www.sejong.ac.kr/kor/college/computer-science-and-engineering.do
2,1,전공선택,문제해결및실습:C++,,,"프로그래밍 사고, 실전 코딩, 논리적 해결 역량",https://www.sejong.ac.kr/kor/college/computer-science-and-engineering.do
2,1,전공선택,웹프로그래밍,,,"HTML, CSS, JS, 프런트엔드, 백엔드 아키텍처",https://www.sejong.ac.kr/kor/college/computer-science-and-engineering.do
2,1,전공선택,윈도우즈프로그래밍,,,"GUI 설계, .NET 프레임워크, 윈도우 API 활용",https://www.sejong.ac.kr/kor/college/computer-science-and-engineering.do
2,1,전공선택,K-MOOC:모두를위한머신러닝,,,"AI 기초 개념, 머신러닝 입문, 지능형 시스템 이해",https://www.sejong.ac.kr/kor/college/computer-science-and-engineering.do
2,2,전공필수,알고리즘및실습,자료구조및실습(필수),,"정렬, 탐색 알고리즘, 동적 계획법, 최적 해법 탐색",https://www.sejong.ac.kr/kor/college/computer-science-and-engineering.do
2,2,전공필수,컴퓨터구조,디지털시스템(권장),,"CPU 구조, 메모리 계층, 명령어 집합(ISA)",https://www.sejong.ac.kr/kor/college/computer-science-and-engineering.do
2,2,전공선택,일반물리학1,,,"역학, 전자기학, 기본 물리 법칙 및 응용",https://www.sejong.ac.kr/kor/college/computer-science-and-engineering.do
2,2,전공선택,이산수학및프로그래밍,,,"집합론, 그래프 이론, 논리 연산, 알고리즘 수학",https://www.sejong.ac.kr/kor/college/computer-science-and-engineering.do
2,2,전공선택,문제해결및실습:JAVA,,,"실무 문제 해결, 알고리즘 적용 실습, 프로그램 구현",https://www.sejong.ac.kr/kor/college/computer-science-and-engineering.do
2,2,전공선택,K-MOOC:멀티미디어,,,"데이터 마이닝 기초, 통계적 분석, 빅데이터 플랫폼",https://www.sejong.ac.kr/kor/college/computer-science-and-engineering.do
2,2,전공선택,오픈소스SW개론,,,"오픈 소스 생태계, 라이선스 이해, Git, GitHub 활용",https://www.sejong.ac.kr/kor/college/computer-science-and-engineering.do
3,1,전공필수,운영체제,컴퓨터구조(권장),,"커널 아키텍처, 프로세스 관리, 가상 메모리 시스템",https://www.sejong.ac.kr/kor/college/computer-science-and-engineering.do
3,1,전공선택,데이터베이스,,,"SQL 프로그래밍, 관계형 모델, 데이터베이스 설계",https://www.sejong.ac.kr/kor/college/computer-science-and-engineering.do
3,1,전공선택,컴퓨터그래픽스,,,"렌더링 파이프라인, 쉐이더 프로그래밍, 3D 시각화",https://www.sejong.ac.kr/kor/college/computer-science-and-engineering.do
3,1,전공선택,신호및시스템,,,"푸리에 변환, LTI 시스템 해석, 주파수 도메인 분석",https://www.sejong.ac.kr/kor/college/computer-science-and-engineering.do
3,1,전공선택,프로그래밍언어의개념,,,"언어 구문 및 의미론, 설계 원리, 프로그래밍 패러다임",https://www.sejong.ac.kr/kor/college/computer-science-and-engineering.do
