학년,학기,이수구분,과목명,선수과목,비고,키워드,URL
1,1,공통필수,세종인을위한진로설계,,,,https://www.sejong.ac.kr/kor/college/software.do
1,1,공통필수,문제해결을위한글쓰기와발표,,,,https://www.sejong.ac.kr/kor/college/software.do
1,1,공통필수,우주자연인간,,,,https://www.sejong.ac.kr/kor/college/software.do
1,1,학문기초교양필수,고급프로그래밍활용,,,,https://www.sejong.ac.kr/kor/college/software.do
1,1,학문기초교양필수,미적분학1,,,,https://www.sejong.ac.kr/kor/college/software.do
1,1,전공기초,C프로그래밍및실습,,,,https://www.sejong.ac.kr/kor/college/software.do
1,1,전공기초,확률및통계,,,,https://www.sejong.ac.kr/kor/college/software.do
1,2,공통필수,세종인을위한전공탐색,,,,https://www.sejong.ac.kr/kor/college/software.do
1,2,공통필수,서양철학:쟁점과토론,,,,https://www.sejong.ac.kr/kor/college/software.do
1,2,공통필수,대학영어,,,,https://www.sejong.ac.kr/kor/college/software.do
1,2,학문기초교양필수,인공지능과빅데이터,,,,https://www.sejong.ac.kr/kor/college/software.do
1,2,전공기초,공업수학1,,,,https://www.sejong.ac.kr/kor/college/software.do
1,2,전공기초,고급C프로그래밍및실습,C프로그래밍및실습(필수),,,https://www.sejong.ac.kr/kor/college/software.do
1,2,전공기초,선형대수,,,,https://www.sejong.ac.kr/kor/college/software.do
2,1,전공필수,자료구조및실습,고급C프로그래밍및실습(필수),,"스택·큐·트리, 데이터 효율성, 알고리즘 복잡도 분석",https://www.sejong.ac.kr/kor/college/software.do
2,1,전공선택,객체지향프로그래밍:C++,,,"클래스·상속·다형성, OOP 설계 원칙, C++, Java 기초",https://www.sejong.ac.kr/kor/college/software.do
2,1,전공선택,윈도우프로그래밍,,,"GUI 설계, .NET 프레임워크, 윈도우 API 활용",https://www.sejong.ac.kr/kor/college/software.do
2,1,전공선택,디지털이미지프로그래밍,,,"픽셀 데이터 처리, 필터링, 이미지 편집 기초",https://www.sejong.ac.kr/kor/college/software.do
2,1,전공선택,일반물리및시뮬레이션,,,"전자기학, 빛과 파동, 전자기 유도 및 회로 실험",https://www.sejong.ac.kr/kor/college/software.do
2,2,전공필수,알고리즘및실습,자료구조및실습(필수),,"정렬 및 탐색, 동적 계획법, 최적 해법 탐색",https://www.sejong.ac.kr/kor/college/software.do
2,2,전공필수,SW설계기초(산학프로젝트입문),,,"요구사항 정의, 설계 다이어그램, SW 생명주기 기초",https://www.sejong.ac.kr/kor/college/software.do
2,2,전공선택,실시간컴퓨터그래픽스,,,"임베디드 시스템, 실시간 스케줄링, 지연 시간 최적화",https://www.sejong.ac.kr/kor/college/software.do
2,2,전공선택,컴퓨터구조,,,"CPU 구조, 명령어 집합(ISA), 메모리 계층 구조",https://www.sejong.ac.kr/kor/college/software.do
2,2,전공선택,객체지향프로그래밍:JAVA,,,"고급 디자인 패턴, 제네릭, 멀티스레딩 프로그래밍",https://www.sejong.ac.kr/kor/college/software.do
2,2,전공선택,응용수치해석및시각화,,,"선형 방정식 해법, 수치 미분 및 적분, MATLAB 활용",https://www.sejong.ac.kr/kor/college/software.do
3,1,전공필수,데이터베이스,,,"SQL 프로그래밍, 관계형 모델, 데이터베이스 설계",https://www.sejong.ac.kr/kor/college/software.do
3,1,전공선택,오픈소스SW개론,,,"Git, GitHub, 협업 워크플로우, 오픈소스 라이선스 이해",https://www.sejong.ac.kr/kor/college/software.do
3,1,전공선택,운영체제,,,"커널 아키텍처, 프로세스 관리, 가상 메모리 시스템",https://www.sejong.ac.kr/kor/college/software.do
3,1,전공선택,객체지향XR프로그래밍,,,"XML 파싱, 데이터 직렬화, 웹 데이터 교환 기술",https://www.sejong.ac.kr/kor/college/software.do
