학년,학기,이수구분,과목명,키워드,URL
1,1,공통필수,세종인을위한진로설계,"진로, 세미나",https://www.sejong.ac.kr/kor/college/school-of-business-administration.do
1,1,공통필수,서양철학:쟁점과토론,"철학, 인문학, 토론",https://www.sejong.ac.kr/kor/college/school-of-business-administration.do
1,1,공통필수,대학영어,"영어, 외국어",https://www.sejong.ac.kr/kor/college/school-of-business-administration.do
1,1,학문기초교양,컴퓨터사고기반기초코딩,"코딩, SW, 파이썬",https://www.sejong.ac.kr/kor/college/school-of-business-administration.do
1,1,전공기초,경영학원론,"경영학, 기업개요",https://www.sejong.ac.kr/kor/college/school-of-business-administration.do
1,1,전공기초,경제학원론,"경제학, 미시경제, 거시경제",https://www.sejong.ac.kr/kor/college/school-of-business-administration.do
1,2,공통필수,세종인을위한전공탐색,"전공, 진로",https://www.sejong.ac.kr/kor/college/school-of-business-administration.do
1,2,공통필수,문제해결을위한글쓰기와발표,"작문, 발표, 커뮤니케이션",https://www.sejong.ac.kr/kor/college/school-of-business-administration.do
1,2,공통필수,우주자연인간,"과학, 철학",https://www.sejong.ac.kr/kor/college/school-of-business-administration.do
1,2,학문기초교양필수,사회과학수학,"기초수학, 수리모델",https://www.sejong.ac.kr/kor/college/school-of-business-administration.do
1,2,학문기초교양,인공지능과 빅데이터,"AI, 데이터분석",https://www.sejong.ac.kr/kor/college/school-of-business-administration.do
1,2,전공기초,Hospitality경영원론,"환대산업, 서비스",https://www.sejong.ac.kr/kor/college/school-of-business-administration.do
1,2,전공선택,경영기초수학,"수학, 경제수학",https://www.sejong.ac.kr/kor/college/school-of-business-administration.do
2,1,전공필수,재무관리,"재무, 자금, 자본시장",https://www.sejong.ac.kr/kor/college/school-of-business-administration.do
2,1,전공필수,마케팅관리,"마케팅, 시장분석, 브랜드",https://www.sejong.ac.kr/kor/college/school-of-business-administration.do
2,1,전공필수,회계원리1,"회계, 재무제표, 부부기",https://www.sejong.ac.kr/kor/college/school-of-business-administration.do
2,1,전공필수,경영통계학,"통계, 확률, 데이터분석",https://www.sejong.ac.kr/kor/college/school-of-business-administration.do
2,1,전공선택,경영과학,"의사결정, 최적화",https://www.sejong.ac.kr/kor/college/school-of-business-administration.do
2,2,전공필수,관리회계,"의사결정회계, 원가관리",https://www.sejong.ac.kr/kor/college/school-of-business-administration.do
2,2,전공필수,조직행동론,"조직심리, 인사관리, 리더십",https://www.sejong.ac.kr/kor/college/school-of-business-administration.do
2,2,전공필수,경영정보론,"MIS, IT경영, 시스템",https://www.sejong.ac.kr/kor/college/school-of-business-administration.do
2,2,전공필수,생산관리,"SCM, 운영관리, 공정",https://www.sejong.ac.kr/kor/college/school-of-business-administration.do
2,2,전공선택,투자론,"주식, 채권, 파생상품",https://www.sejong.ac.kr/kor/college/school-of-business-administration.do
2,2,전공선택,기업재무,"기업금융, 재무구조",https://www.sejong.ac.kr/kor/college/school-of-business-administration.do
3,1,전공선택,원가회계,"제조원가, 계산",https://www.sejong.ac.kr/kor/college/school-of-business-administration.do
3,1,전공선택,국제경영론,"글로벌경영, 해외진출",https://www.sejong.ac.kr/kor/college/school-of-business-administration.do
3,1,전공선택,인적자원관리,"인사제도, 채용, 평가",https://www.sejong.ac.kr/kor/college/school-of-business-administration.do
3,1,전공선택,중급회계1,재무회계심화,https://www.sejong.ac.kr/kor/college/school-of-business-administration.do
3,1,전공선택,서비스마케팅,"서비스산업, 고객만족",https://www.sejong.ac.kr/kor/college/school-of-business-administration.do
3,1,전공선택,전사적자원관리,"ERP, 경영시스템",https://www.sejong.ac.kr/kor/college/school-of-business-administration.do
3,2,전공선택,전략경영,"경영전략, 경쟁우위",https://www.sejong.ac.kr/kor/college/school-of-business-administration.do
3,2,전공선택,선물옵션이론,"파생상품, 리스크관리",https://www.sejong.ac.kr/kor/college/school-of-business-administration.do
3,2,전공선택,유통경로관리,"물류, 유통채널",https://www.sejong.ac.kr/kor/college/school-of-business-administration.do
3,2,전공선택,핀테크개론,"Fintech, 금융기술",https://www.sejong.ac.kr/kor/college/school-of-business-administration.do
4,1,전공선택,졸업연구및진로1,"졸업연구, 논문",https://www.sejong.ac.kr/kor/college/school-of-business-administration.do
4,1,전공선택,노사관계론,"노동법, 협상",https://www.sejong.ac.kr/kor/college/school-of-business-administration.do
4,1,전공선택,회계감사,"감사보고서, 내부통제",https://www.sejong.ac.kr/kor/college/school-of-business-administration.do
4,1,전공선택,브랜드관리,"브랜딩, 마케팅전략",https://www.sejong.ac.kr/kor/college/school-of-business-administration.do
4,1,전공선택,비즈니스애널리틱스,"빅데이터, 분석",https://www.sejong.ac.kr/kor/college/school-of-business-administration.do
4,2,전공선택,졸업연구및진로2,"졸업연구, 논문",https://www.sejong.ac.kr/kor/college/school-of-business-administration.do
4,2,전공선택,인수합병론,"M&A, 기업결합",https://www.sejong.ac.kr/kor/college/school-of-business-administration.do
4,2,전공선택,경영시뮬레이션,"경영실습, 게임",https://www.sejong.ac.kr/kor/college/school-of-business-administration.do
4,2,전공선택,로지스틱스,"물류관리, 운송",https://www.sejong.ac.kr/kor/college/school-of-business-administration.do
