학년,학기,이수구분,과목명,키워드,URL
1,1,공통필수,세종인을위한진로설계,"진로, 세미나",https://www.sejong.ac.kr/kor/college/economics.do
1,1,공통필수,서양철학:쟁점과토론,"철학, 인문학, 토론",https://www.sejong.ac.kr/kor/college/economics.do
1,1,공통필수,대학영어,"영어, 외국어",https://www.sejong.ac.kr/kor/college/economics.do
1,1,학문기초교양필수,컴퓨터사고기반기초코딩,"코딩, SW, 논리적사고",https://www.sejong.ac.kr/kor/college/economics.do
1,1,전공기초,경영학원론,"경영학, 기업, 조직",https://www.sejong.ac.kr/kor/college/economics.do
1,1,전공기초,경제학원론,"경제학기초, 미시, 거시",https://www.sejong.ac.kr/kor/college/economics.do
1,2,공통필수,세종인을위한전공탐색,"전공탐색, 진로설계",https://www.sejong.ac.kr/kor/college/economics.do
1,2,공통필수,문제해결을위한글쓰기와발표,"작문, 발표, 커뮤니케이션",https://www.sejong.ac.kr/kor/college/economics.do
1,2,공통필수,우주자연인간,"교양과학, 인문학",https://www.sejong.ac.kr/kor/college/economics.do
1,2,학문기초교양필수,인공지능과빅데이터,"AI, 데이터분석, 파이썬",https://www.sejong.ac.kr/kor/college/economics.do
1,2,학문기초교양필수,사회과학수학,"기초수학, 수리모델",https://www.sejong.ac.kr/kor/college/economics.do
1,2,전공기초,Hospitality경영원론,"서비스경영, 호텔관광",https://www.sejong.ac.kr/kor/college/economics.do
2,1,전공필수,미시경제학,"가격이론, 소비자선택, 생산자이론",https://www.sejong.ac.kr/kor/college/economics.do
2,1,전공필수,경제수학,"수리경제, 최적화, 미분",https://www.sejong.ac.kr/kor/college/economics.do
2,1,전공선택,경제사,"경제발전사, 역사",https://www.sejong.ac.kr/kor/college/economics.do
2,1,전공선택,무역실무,"수출입, 통관, 결제",https://www.sejong.ac.kr/kor/college/economics.do
2,1,전공선택,경제논술,"논술, 경제이슈, 비판적사고",https://www.sejong.ac.kr/kor/college/economics.do
2,2,전공필수,거시경제학,"국민소득, 물가, 고용",https://www.sejong.ac.kr/kor/college/economics.do
2,2,전공필수,경제통계학,"통계분석, 확률분포, 검정",https://www.sejong.ac.kr/kor/college/economics.do
2,2,전공선택,경제발전론,"성장이론, 개발도상국",https://www.sejong.ac.kr/kor/college/economics.do
2,2,전공선택,기업경제학,"기업이론, 산업분석",https://www.sejong.ac.kr/kor/college/economics.do
2,2,전공선택,경제학설사,"경제학파, 고전학파, 케인즈",https://www.sejong.ac.kr/kor/college/economics.do
2,2,전공선택,경제실무영어,"비즈니스영어, 경제독해",https://www.sejong.ac.kr/kor/college/economics.do
3,1,전공필수,계량경제학,"회귀분석, 모델링, 데이터분석",https://www.sejong.ac.kr/kor/college/economics.do
3,1,전공선택,화폐금융론,"통화정책, 중앙은행, 금융시장",https://www.sejong.ac.kr/kor/college/economics.do
3,1,전공선택,공공경제학,"재정학, 공공재, 조세",https://www.sejong.ac.kr/kor/college/economics.do
3,1,전공선택,빅데이터론,"빅데이터, 데이터마이닝",https://www.sejong.ac.kr/kor/college/economics.do
3,1,전공선택,한국경제론,"한국경제성장, 산업구조",https://www.sejong.ac.kr/kor/college/economics.do
3,1,전공선택,국제무역론,"비교우위, 무역정책",https://www.sejong.ac.kr/kor/college/economics.do
3,1,전공선택,일반사회교과교육론,"교직, 교육이론",https://www.sejong.ac.kr/kor/college/economics.do
3,1,전공선택,경제통합론,"FTA, 지역경제통합",https://www.sejong.ac.kr/kor/college/economics.do
3,2,전공선택,국제금융론,"환율, 국제수지, 개방거시",https://www.sejong.ac.kr/kor/college/economics.do
3,2,전공선택,도시지역경제학,"부동산, 입지이론",https://www.sejong.ac.kr/kor/college/economics.do
