학년,학기,이수구분,과목명,선수과목,비고,키워드,URL
1,1,공통필수,세종인을위한진로설계,,,,https://www.sejong.ac.kr/kor/college/architecture.do
1,1,공통필수,문제해결을위한글쓰기와발표,,,,https://www.sejong.ac.kr/kor/college/architecture.do
1,1,공통필수,우주자연인간,,,,https://www.sejong.ac.kr/kor/college/architecture.do
1,1,학문기초교양,SW기초코딩,,,,https://www.sejong.ac.kr/kor/college/architecture.do
1,1,전공기초,미적분학1,,,,https://www.sejong.ac.kr/kor/college/architecture.do
1,1,전공기초,일반물리학1,,,,https://www.sejong.ac.kr/kor/college/architecture.do
1,2,공통필수,세종인을위한전공탐색,,,,https://www.sejong.ac.kr/kor/college/architecture.do
1,2,공통필수,서양철학:쟁점과토론,,,,https://www.sejong.ac.kr/kor/college/architecture.do
1,2,공통필수,대학영어,,,,https://www.sejong.ac.kr/kor/college/architecture.do
1,2,학문기초교양,고급프로그래밍활용,,,,https://www.sejong.ac.kr/kor/college/architecture.do
1,2,전공기초,미적분학2,,,,https://www.sejong.ac.kr/kor/college/architecture.do
1,2,전공기초,일반화학1,,,,https://www.sejong.ac.kr/kor/college/architecture.do
2,1,전공기초,통계학개론,,,"확률 분포, 기술 통계, 가설 검정, 상관 분석 기초",https://www.sejong.ac.kr/kor/college/architecture.do
2,1,전공필수,스튜디오1,,,"건축 설계 기초, 공간 구성 실습, 드로잉 및 모형 제작",https://www.sejong.ac.kr/kor/college/architecture.do
2,1,전공필수,건축디지털디자인1,,,"CAD 기초, 디지털 도면 작성, 2D 및 3D 모델링 입문",https://www.sejong.ac.kr/kor/college/architecture.do
2,1,전공선택,건축디자인,,,"디자인 원리, 형태와 공간, 건축 미학, 조형 이론",https://www.sejong.ac.kr/kor/college/architecture.do
2,1,전공선택,표현과매체,,,"시각적 표현 기법, 그래픽 매체 활용, 프리젠테이션 기술",https://www.sejong.ac.kr/kor/college/architecture.do
2,2,전공기초,인공지능과빅데이터,,,"AI 기초 개념, 사회적 변화, 윤리적 쟁점, 미래 기술 전망",https://www.sejong.ac.kr/kor/college/architecture.do
2,2,전공필수,건축구조개론,,,"하중 전달 원리, 구조 시스템 종류, 역학적 기초 이론",https://www.sejong.ac.kr/kor/college/architecture.do
2,2,전공필수,스튜디오2,,,"기초 건축 설계, 대지 분석 실습, 소규모 건축물 계획",https://www.sejong.ac.kr/kor/college/architecture.do
2,2,전공필수,서양건축사,,,"고대 및 중세 건축, 르네상스 및 바로크 건축, 양식 변천사",https://www.sejong.ac.kr/kor/college/architecture.do
2,2,전공선택,건축디지털디자인2,,,"고급 3D 모델링, 렌더링 기법, 파라메트릭 디자인 기초",https://www.sejong.ac.kr/kor/college/architecture.do
3,1,전공필수,건축시공및관리,,,"건설 공정 이해, 건축 재료 특성, 현장 관리 및 품질 표준",https://www.sejong.ac.kr/kor/college/architecture.do
3,1,전공필수,건축환경개론,,,"열 및 빛 및 음환경, 에너지 절약 설계, 실내 쾌적성 평가",https://www.sejong.ac.kr/kor/college/architecture.do
3,1,전공필수,스튜디오3,,,"주거 공간 설계, 단위 세대 계획, 주거 단지 분석 실습",https://www.sejong.ac.kr/kor/college/architecture.do
3,1,전공필수,현대건축사,,,"근대 건축 운동, 포스트모더니즘, 동시대 건축 경향 분석",https://www.sejong.ac.kr/kor/college/architecture.do
3,1,전공선택,디지털패브리케이션,,,"CNC 및 3D 프린팅, 디지털 제조 공정, 시제품 제작 기술",https://www.sejong.ac.kr/kor/college/architecture.do
3,2,전공필수,재료와디테일,,,"재료의 물성 및 미학, 디테일 설계 실무, 조형적 표현 연구",https://www.sejong.ac.kr/kor/college/architecture.do
3,2,전공필수,도시설계,,,"도시 공간 구성 원리, 가로 경관 계획, 공공 영역 디자인",https://www.sejong.ac.kr/kor/college/architecture.do
3,2,전공필수,스튜디오4,,,"중규모 건축 설계, 공공 건축물 계획, 프로그램 분석 및 배치",https://www.sejong.ac.kr/kor/college/architecture.do
3,2,전공필수,건축설비,,,"급배수 및 소방 설비, 공기 조화 시스템, 에너지 효율 장치",https://www.sejong.ac.kr/kor/college/architecture.do
3,2,전공선택,건축경제학,,,"건설 시장 분석, 투자 타당성 검토, 사업 수지 분석 기초",https://www.sejong.ac.kr/kor/college/architecture.do
4,1,전공필수,스튜디오5,,,"복합 용도 건축 설계, 도시 맥락 분석 실습, 대규모 공간 계획",https://www.sejong.ac.kr/kor/college/architecture.do
4,1,전공필수,프로젝트관리론,,,"건설 프로젝트 기획, 일정 및 원가 관리, 리스크 평가 기술",https://www.sejong.ac.kr/kor/college/architecture.do
4,1,전공필수,건축법제도,,,"건축법규 및 시행령, 인허가 절차 이해, 관련 법령 해석 실무",https://www.sejong.ac.kr/kor/college/architecture.do
4,1,전공선택,도시계획,,,"국토 및 도시 토지 이용, 토지 이용 계획, 도시 개발 전략",https://www.sejong.ac.kr/kor/college/architecture.do
