학년,학기,이수구분,과목명,선수과목,비고,키워드,URL
1,1,교양,문제해결을위한글쓰기와발표,,,,https://www.sejong.ac.kr/kor/college/nano-technology-and-advanced-materials-engineering.do
1,1,학문기초교양필수,SW기초코딩,,,,https://www.sejong.ac.kr/kor/college/nano-technology-and-advanced-materials-engineering.do
1,1,학문기초교양필수,미적분학1,,,,https://www.sejong.ac.kr/kor/college/nano-technology-and-advanced-materials-engineering.do
1,1,학문기초교양필수,일반물리학1,,,,https://www.sejong.ac.kr/kor/college/nano-technology-and-advanced-materials-engineering.do
1,2,교양,대학영어,,,,https://www.sejong.ac.kr/kor/college/nano-technology-and-advanced-materials-engineering.do
1,2,교양,서양철학:쟁점과토론,,,,https://www.sejong.ac.kr/kor/college/nano-technology-and-advanced-materials-engineering.do
1,2,학문기초교양필수,미적분학2,,,,https://www.sejong.ac.kr/kor/college/nano-technology-and-advanced-materials-engineering.do
1,2,학문기초교양필수,고급프로그래밍활용,,,,https://www.sejong.ac.kr/kor/college/nano-technology-and-advanced-materials-engineering.do
1,2,학문기초교양필수,일반화학1,,,,https://www.sejong.ac.kr/kor/college/nano-technology-and-advanced-materials-engineering.do
2,1,전공기초,공업수학1,,,"미분방정식, 선형대수학, 공학수학 기초",https://www.sejong.ac.kr/kor/college/nano-technology-and-advanced-materials-engineering.do
2,1,전공필수,결정구조및X선회절,,,"결정학 기초, 격자 구조, 점결함 및 전위",https://www.sejong.ac.kr/kor/college/nano-technology-and-advanced-materials-engineering.do
2,1,전공필수,재료열역학1,,,"엔트로피, 엔탈피, 깁스 자유 에너지, 상태 방정식",https://www.sejong.ac.kr/kor/college/nano-technology-and-advanced-materials-engineering.do
2,1,전공선택,공학기초설계실험,,,"문제 정의, 창의적 설계 프로세스, 프로토타이핑",https://www.sejong.ac.kr/kor/college/nano-technology-and-advanced-materials-engineering.do
2,1,전공선택,전기전자공학,,,"기초 회로 해석, 전압 및 전류 법칙, 전자 부품 이해",https://www.sejong.ac.kr/kor/college/nano-technology-and-advanced-materials-engineering.do
2,1,전공선택,일반물리학2,,,"뉴턴 역학, 운동 법칙, 일과 에너지 원리",https://www.sejong.ac.kr/kor/college/nano-technology-and-advanced-materials-engineering.do
2,1,전공필수,신소재과학1,,,"신소재 분류, 재료 과학 기초, 나노 기술 개요",https://www.sejong.ac.kr/kor/college/nano-technology-and-advanced-materials-engineering.do
2,1,전공선택,일반화학2,,,"화학 평형, 반응 속도론, 산 및 염기 반응",https://www.sejong.ac.kr/kor/college/nano-technology-and-advanced-materials-engineering.do
2,2,전공기초,공업수학2,,,"라플라스 변환, 푸리에 급수, 편미분 방정식",https://www.sejong.ac.kr/kor/college/nano-technology-and-advanced-materials-engineering.do
