학년,학기,이수구분,과목명,선수과목,비고,키워드,URL
1,1,교양,문제해결을위한글쓰기와발표,,,,https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
1,1,학문기초교양필수,SW기초코딩,,,,https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
1,1,학문기초교양필수,미적분학1,,,,https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
1,1,학문기초교양필수,일반물리학1,,,,https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
1,2,교양,대학영어,,,,https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
1,2,교양,서양철학:쟁점과토론,,,,https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
1,2,학문기초교양필수,고급프로그래밍활용,,,,https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
1,2,학문기초교양필수,일반화학1,,,,https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
1,2,학문기초교양필수,미적분학2,,,,https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
2,1,전공선택,공업수학1,,,"미분방정식, 선형대수학 기초, 공학수학 입문",https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
2,1,전공필수,우주항공입문,,,"항공우주 역사, 비행 원리 개론, 미래 항공 기술",https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
2,1,전공필수,고체역학,,,"응력과 변형률, 부재의 강도 해석, 고체 물리 기초",https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
2,1,전공필수,열역학,,,"에너지 보존 법칙, 사이클 해석, 엔트로피 및 효율",https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
2,1,전공선택,항공우주제도및CAD,,,"복합 재료, 고온 합금 특성, 경량화 소재 기술",https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
2,2,전공선택,공업수학2,,,"급수 및 벡터 미적분, 복소함수론 응용, 공학수학 심화",https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
2,2,전공선택,선형대수학,,,"행렬 연산, 벡터 공간, 고윳값 문제 해결",https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
2,2,전공필수,동역학,,,"뉴턴 역학, 운동 에너지, 강체 운동 해석",https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
2,2,전공선택,항공우주응용SW1,,,"고급 미적분 응용, 수치적 해법 기초, 항공수학 특화",https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
2,2,전공필수,공기역학,,,"유체 유동 기초, 양력과 항력 발생 원리, 익형 해석",https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
2,2,전공필수,기초설계,,,"공학 설계 프로세스, 아이디어 구체화, 기초 설계 실무",https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
3,1,전공필수,비행동역학,,,"비행기 운동 방정식, 안정성 및 조종성 분석, 비행 성능",https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
3,1,전공선택,우주궤도역학,,,"케플러 법칙, 궤도 전이 기술, 인공위성 궤도 설계",https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
3,1,전공선택,진동학,,,"진동 시스템 모델링, 자유 및 강제 진동 해석, 공진 방지 설계",https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
3,1,전공선택,항공기구조역학,,,"날개 및 동체 구조 해석, 하중 분산 기술, 구조 무결성",https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
3,1,전공선택,압축성유체역학,,,"충격파 해석, 초음속 유동 원리, 가스 동역학 기초",https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
3,1,전공선택,항공우주AI기초,,,"비행 데이터 학습, 고장 진단 인공지능, 자율 제어 알고리즘",https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
3,1,전공선택,메카트로닉스종합설계,,,"전기 및 기계 융합 제어, 센서 및 액추에이터, 시스템 통합",https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
3,1,전공선택,항공우주응용SW2,,,"항공우주 데이터 분석, 파이썬 기반 수학 모델링, 공학 문제 최적화",https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
3,2,학문기초교양필수,수치해석,,,"오차 분석, 비선형 방정식 해법, 매트랩 활용 연산",https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
3,2,전공선택,항공기설계,,,"항공기 형상 설계, 시스템 요구사항 분석, 종합 설계 기초",https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
3,2,전공선택,추진체공학,,,"제트 엔진 원리, 추진 효율 해석, 가스 터빈 시스템",https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
3,2,전공선택,전산구조해석및실습,,,"유한요소법 응용, 전산 기반 구조 강도 분석, 시뮬레이션 실무",https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
3,2,전공선택,자동제어,,,"피드백 제어 시스템, 상태 공간 모델링, 제어 시스템 안정성",https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
3,2,전공선택,항공우주전자응용설계,,,"항공기 전력 계통, 통신 및 항법 전기 회로, 전자 부품 응용",https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
3,2,전공선택,인공위성시스템공학,,,"위성 아키텍처, 전력 및 통신 서브시스템, 임무 설계",https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
3,2,전공선택,자율비행시스템설계1,,,"무인기 제어 알고리즘, 경로 생성 기술, 센서 융합 및 인지",https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
4,1,전공필수,종합설계1,,,"시스템 통합 설계 전반기, 캡스톤 프로젝트 기획, 실무 과제 수행",https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
4,1,전공선택,졸업연구및진로1,,,"연구 주제 선정, 문헌 조사 실습, 진로 로드맵 수립",https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
4,1,전공선택,로켓공학및설계,,,"로켓 엔진 성능 분석, 화학 추진제 기술, 추력 제어",https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
4,1,전공선택,항공우주공학연구1,,,"항공우주 기술 심화, 최신 엔지니어링 동향, 전문가 기술 세미나",https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
4,1,전공선택,자율비행시스템설계2,,,"가상 환경 비행 모사, HIL 시뮬레이션, 제어 알고리즘 검증",https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
4,1,전공선택,응용공기역학및설계,,,"익형 고도화 해석, 고양력 장치 설계, 전산 유체 역학 기초",https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
4,1,전공선택,항법전자시스템설계,,,"GPS 및 GNSS 기술, 관성 항법 장치(INS), 전자기 수신 제어",https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
4,1,전공선택,열전달,,,"전도 및 대류 및 복사 해석, 엔진 냉각 설계, 우주선 열제어",https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
4,1,전공선택,초소형위성설계및실습,,,"큐브 위성 개발, 미세 위성 시스템, 초소형 우주 장비 설계",https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
4,2,전공선택,졸업연구및진로2,,,"최종 논문 완성, 연구 성과 정리, 취업 및 진학 최종 가이드",https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
4,2,전공선택,헬리콥터공학및설계,,,"회전익 비행 원리, 회전날개 역학, 수직 이착륙기 설계",https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
4,2,전공선택,유도제어시스템설계,,,"유도 법칙 알고리즘, 실시간 궤적 제어, 비행 제어 시뮬레이션",https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
4,2,전공선택,항공우주공학세미나,,,"우주 환경 데이터 처리, 항공우주 소프트웨어 아키텍처, 프로그래밍 실무",https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
4,2,전공선택,항공우주공학연구2,,,"항공우주 첨단 기술 사례 연구, 글로벌 산업 이슈 분석, 기술 실무 심화",https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
4,2,전공선택,연소공학,,,"화학 반응 평형, 화염 전파 원리, 배기가스 저감 기술",https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
4,2,전공선택,우주발사체임무설계,,,"발사체 궤적 최적화, 다단계 분리 기술, 구조 최적 설계",https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
4,2,전공선택,전산응용해석,,,"전산 기반 유동 해석 실무, 공력 최적화 설계, 수치 시뮬레이션 응용",https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
4,2,전공선택,항공우주AI응용,,,"우주 비행체 자율 인지, 딥러닝 기반 이미지 처리, 지능형 비행 제어",https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
4,2,전공필수,종합설계2,,,"종합 설계 최종 성과물 도출, 시스템 검증 및 전시, 캡스톤 발표",https://www.sejong.ac.kr/kor/college/aerospace-engineering.do
