학년,학기,이수구분,과목명,선수과목,비고,키워드,URL
1,1,공통필수,세종인을위한진로설계,,,,https://www.sejong.ac.kr/kor/college/energy-and-mineral-resources-and-engineering.do
1,1,공통필수,문제해결을위한글쓰기와발표,,,,https://www.sejong.ac.kr/kor/college/energy-and-mineral-resources-and-engineering.do
1,1,공통필수,우주자연인간,,,,https://www.sejong.ac.kr/kor/college/energy-and-mineral-resources-and-engineering.do
1,1,학문기초교양필수,SW기초코딩,,,,https://www.sejong.ac.kr/kor/college/energy-and-mineral-resources-and-engineering.do
1,1,학문기초교양필수,미적분학1,,,,https://www.sejong.ac.kr/kor/college/energy-and-mineral-resources-and-engineering.do
1,1,전공기초,일반물리학1,,,,https://www.sejong.ac.kr/kor/college/energy-and-mineral-resources-and-engineering.do
1,2,공통필수,세종인을위한전공탐색,,,,https://www.sejong.ac.kr/kor/college/energy-and-mineral-resources-and-engineering.do
1,2,공통필수,서양철학:쟁점과토론,,,,https://www.sejong.ac.kr/kor/college/energy-and-mineral-resources-and-engineering.do
1,2,공통필수,대학영어,,,,https://www.sejong.ac.kr/kor/college/energy-and-mineral-resources-and-engineering.do
1,2,학문기초교양필수,고급프로그래밍활용,,,,https://www.sejong.ac.kr/kor/college/energy-and-mineral-resources-and-engineering.do
1,2,학문기초교양필수,미적분학2,,,,https://www.sejong.ac.kr/kor/college/energy-and-mineral-resources-and-engineering.do
1,2,전공기초,일반화학1,,,,https://www.sejong.ac.kr/kor/college/energy-and-mineral-resources-and-engineering.do
2,1,전공기초,공업수학1,,,"미분방정식, 선형대수학 기초, 공학수학 입문",https://www.sejong.ac.kr/kor/college/energy-and-mineral-resources-and-engineering.do
2,1,전공필수,기초설계,,,"창의적 문제 해결, 아이디어 구체화, 기초 설계 실무",https://www.sejong.ac.kr/kor/college/energy-and-mineral-resources-and-engineering.do
2,1,전공선택,지구자원시스템개론,,,"자원 순환 체계, 시스템 엔지니어링 기초, 자원 공학 개론",https://www.sejong.ac.kr/kor/college/energy-and-mineral-resources-and-engineering.do
2,1,전공선택,지구시스템의이해,,,"지질학 기초, 지구 내부 구조, 암석 및 광물 개요",https://www.sejong.ac.kr/kor/college/energy-and-mineral-resources-and-engineering.do
2,1,전공선택,전산프로그래밍및실습,,,"프로그래밍 논리, 알고리즘 기초, 실전 코딩 역량",https://www.sejong.ac.kr/kor/college/energy-and-mineral-resources-and-engineering.do
2,1,전공선택,기초역학개론,,,"정역학 및 동역학 실습, 힘의 평형, 기초 역학 해석",https://www.sejong.ac.kr/kor/college/energy-and-mineral-resources-and-engineering.do
2,1,전공선택,위성원격탐사개론및실습,,,"위성 영상 분석, 원격 탐사 이론, 공간 데이터 획득",https://www.sejong.ac.kr/kor/college/energy-and-mineral-resources-and-engineering.do
2,1,전공선택,빅데이터로보는세상,,,"데이터 트렌드 분석, 사회적 변화, 빅데이터 활용 사례",https://www.sejong.ac.kr/kor/college/energy-and-mineral-resources-and-engineering.do
2,1,전공선택,석유가스공학개론,,,"시추 공법 기초, 석유 및 가스 생산 공정, 에너지 자원학",https://www.sejong.ac.kr/kor/college/energy-and-mineral-resources-and-engineering.do
2,2,전공기초,공업수학2,,,"라플라스 변환, 푸리에 급수, 편미분 방정식 심화",https://www.sejong.ac.kr/kor/college/energy-and-mineral-resources-and-engineering.do
2,2,전공필수,차세대에너지공학,,,"열역학 법칙 적용, 에너지 변환 시스템, 차세대 동력 공학",https://www.sejong.ac.kr/kor/college/energy-and-mineral-resources-and-engineering.do
2,2,전공필수,지구환경시스템공학,,,"지하수 오염 분석, 토양 환경 지질, 환경 영향 평가",https://www.sejong.ac.kr/kor/college/energy-and-mineral-resources-and-engineering.do
2,2,전공선택,지구화학탐사,,,"화학 원소 분포 해석, 시료 채취 및 분석, 광역 탐사 기법",https://www.sejong.ac.kr/kor/college/energy-and-mineral-resources-and-engineering.do
2,2,전공선택,지오메카닉스및실험,,,"암반 역학 기초, 고체 내 응력 해석, 지질 구조 거동",https://www.sejong.ac.kr/kor/college/energy-and-mineral-resources-and-engineering.do
2,2,전공선택,지반구조영상화,,,"지하 구조물 안정성, 터널 및 지반 역학, 구조 해석 실무",https://www.sejong.ac.kr/kor/college/energy-and-mineral-resources-and-engineering.do
2,2,전공선택,열역학,,,"열과 에너지 전달, 엔트로피 해석, 사이클 효율 분석",https://www.sejong.ac.kr/kor/college/energy-and-mineral-resources-and-engineering.do
2,2,전공선택,지구측량및실습,,,"지형도 제작, GPS 수신 및 처리, GIS 공간 정보 구축",https://www.sejong.ac.kr/kor/college/energy-and-mineral-resources-and-engineering.do
2,2,전공선택,에너지자원경제,,,"자원 탐사 현장 실습, 탐사 장비 운용, 실무 데이터 수집",https://www.sejong.ac.kr/kor/college/energy-and-mineral-resources-and-engineering.do
2,2,전공선택,인공지능의이해,,,"기계 학습 응용, 데이터 기반 예측 모델, AI 기반 자원 해석",https://www.sejong.ac.kr/kor/college/energy-and-mineral-resources-and-engineering.do
2,2,전공선택,오픈소스SW공학,,,"오픈 소스 생태계, 깃 및 깃허브 활용, 리눅스 시스템 입문",https://www.sejong.ac.kr/kor/college/energy-and-mineral-resources-and-engineering.do
3,1,전공필수,지하공간활용공학,,,"3D 지중 시각화, 지물 물리 탐사 영상, 지하 공간 이미징",https://www.sejong.ac.kr/kor/college/energy-and-mineral-resources-and-engineering.do
3,1,전공선택,응용지구전자기학,,,"탄성파 및 전기 비저항 탐사, 물리 검층, 지구 물리 데이터 해석",https://www.sejong.ac.kr/kor/college/energy-and-mineral-resources-and-engineering.do
3,1,전공선택,금속생산회수공학,,,"광석 제련 기술, 금속 추출 및 정제, 소재 생산 공정",https://www.sejong.ac.kr/kor/college/energy-and-mineral-resources-and-engineering.do
3,1,전공선택,지질공학및실습,,,"암반 사면 안정성, 터널 시공 역학, 지질 공학 설계 실무",https://www.sejong.ac.kr/kor/college/energy-and-mineral-resources-and-engineering.do
3,1,전공선택,디지털자료처리및실습,,,"디지털 신호 처리 기초, 데이터 필터링, 수치 데이터 변환",https://www.sejong.ac.kr/kor/college/energy-and-mineral-resources-and-engineering.do
3,1,전공선택,빅데이터조정계산,,,"인포그래픽 설계, 시각화 도구 활용, 데이터 통계 분석",https://www.sejong.ac.kr/kor/college/energy-and-mineral-resources-and-engineering.do
