학년,학기,이수구분,과목명,키워드,URL
1,1,전공선택,세계음식문화사,"음식문화, 역사, 세계",https://www.sejong.ac.kr/kor/college/global-culinary-art-pastry.do
1,1,전공선택,식품학,"식품과학, 화학, 기초과학",https://www.sejong.ac.kr/kor/college/global-culinary-art-pastry.do
1,1,전공선택,식품위생학,"위생, 안전, HACCP",https://www.sejong.ac.kr/kor/college/global-culinary-art-pastry.do
1,1,전공선택,조리기초실습,"조리, 기초, 실무",https://www.sejong.ac.kr/kor/college/global-culinary-art-pastry.do
1,1,전공선택,PC활용과이해,"IT, 오피스, 기초",https://www.sejong.ac.kr/kor/college/global-culinary-art-pastry.do
1,1,전공선택,Coffee Barista 실습,"커피, 바리스타, 추출",https://www.sejong.ac.kr/kor/college/global-culinary-art-pastry.do
1,1,전공선택,호텔외식조리경영실무1,"호텔외식, 경영실무, 현장",https://www.sejong.ac.kr/kor/college/global-culinary-art-pastry.do
1,2,전공선택,서비스매너,"서비스, 매너, 에티켓",https://www.sejong.ac.kr/kor/college/global-culinary-art-pastry.do
1,2,전공선택,푸드투어리즘,"미식여행, 관광, 음식",https://www.sejong.ac.kr/kor/college/global-culinary-art-pastry.do
1,2,전공선택,호스피탈리티산업의이해,"환대산업, 서비스, 경영",https://www.sejong.ac.kr/kor/college/global-culinary-art-pastry.do
1,2,전공선택,조리학,"조리이론, 조리과학",https://www.sejong.ac.kr/kor/college/global-culinary-art-pastry.do
1,2,전공선택,글로벌식생활문화,"글로벌, 식생활, 문화",https://www.sejong.ac.kr/kor/college/global-culinary-art-pastry.do
1,2,전공선택,모던이스트퀴진실습,"현대요리, 조리, 실무",https://www.sejong.ac.kr/kor/college/global-culinary-art-pastry.do
1,2,전공선택,레스토랑디자인공간과트렌드,"디자인, 공간, 트렌드",https://www.sejong.ac.kr/kor/college/global-culinary-art-pastry.do
1,2,전공선택,Cooking English,"영어, 조리영어, 회화",https://www.sejong.ac.kr/kor/college/global-culinary-art-pastry.do
1,2,전공선택,호텔외식조리경영실무2,"경영, 실무, 심화",https://www.sejong.ac.kr/kor/college/global-culinary-art-pastry.do
2,1,전공선택,고객커뮤니케이션전략,"소통, 상담, CS",https://www.sejong.ac.kr/kor/college/global-culinary-art-pastry.do
2,1,전공선택,카이세키&이자까야실습,"일식, 조리, 실무",https://www.sejong.ac.kr/kor/college/global-culinary-art-pastry.do
2,1,전공선택,호텔연회기획과케이터링경영,"연회, 파티, 케이터링",https://www.sejong.ac.kr/kor/college/global-culinary-art-pastry.do
2,1,전공선택,외식영양과건강,"영양, 건강, 식단",https://www.sejong.ac.kr/kor/college/global-culinary-art-pastry.do
2,1,전공선택,Coffee Barista 창업,"커피, 창업, 비즈니스",https://www.sejong.ac.kr/kor/college/global-culinary-art-pastry.do
2,1,전공선택,호텔외식조리경영실무3,"관리, 실무, 현장",https://www.sejong.ac.kr/kor/college/global-culinary-art-pastry.do
2,2,전공선택,항공크루즈산업,"항공, 크루즈, 관광",https://www.sejong.ac.kr/kor/college/global-culinary-art-pastry.do
2,2,전공선택,식품재료학,"식재료, 원가, 품질",https://www.sejong.ac.kr/kor/college/global-culinary-art-pastry.do
2,2,전공선택,유러피언퀴진실습,"양식, 조리, 실무",https://www.sejong.ac.kr/kor/college/global-culinary-art-pastry.do
2,2,전공선택,Boulanger실습,"제빵, 베이커리, 실습",https://www.sejong.ac.kr/kor/college/global-culinary-art-pastry.do
2,2,전공선택,About Wine 실습,"와인, 소믈리에, 시음",https://www.sejong.ac.kr/kor/college/global-culinary-art-pastry.do
2,2,전공선택,호텔외식조리경영실무4,"운영, 관리, 실무",https://www.sejong.ac.kr/kor/college/global-culinary-art-pastry.do
3,1,전공필수,K-Food & 세계요리실습,"한식, 세계요리, 실무",https://www.sejong.ac.kr/kor/college/global-culinary-art-pastry.do
3,1,전공필수,외식산업경영론,"외식산업, 경영, 전략",https://www.sejong.ac.kr/kor/college/global-culinary-art-pastry.do
3,1,전공선택,에스닉푸드실습,"에스닉, 세계음식, 조리",https://www.sejong.ac.kr/kor/college/global-culinary-art-pastry.do
3,1,전공선택,컨벤션산업,"MICE, 컨벤션, 이벤트",https://www.sejong.ac.kr/kor/college/global-culinary-art-pastry.do
3,1,전공선택,식품관련법규,"법규, 위생, 안전",https://www.sejong.ac.kr/kor/college/global-culinary-art-pastry.do
3,1,전공선택,Grade Manger,"가르드망제, 찬요리, 조리",https://www.sejong.ac.kr/kor/college/global-culinary-art-pastry.do
3,1,전공선택,메뉴기획과푸드플레이팅,"메뉴기획, 플레이팅, 연출",https://www.sejong.ac.kr/kor/college/global-culinary-art-pastry.do
3,1,전공선택,호텔외식조리경영실무5,"전문경영, 실무",https://www.sejong.ac.kr/kor/college/global-culinary-art-pastry.do
3,2,전공필수,풍과소스실습,"소스, 양념, 기초실무",https://www.sejong.ac.kr/kor/college/global-culinary-art-pastry.do
3,2,전공필수,레스토랑경영과창업,"창업, 레스토랑, 경영",https://www.sejong.ac.kr/kor/college/global-culinary-art-pastry.do
3,2,전공선택,식공간디자인개발,"공간디자인, VMD, 인테리어",https://www.sejong.ac.kr/kor/college/global-culinary-art-pastry.do
3,2,전공선택,메뉴디자인,"메뉴개발, 디자인",https://www.sejong.ac.kr/kor/college/global-culinary-art-pastry.do
3,2,전공선택,Patissier 실습,"제과, 디저트, 실습",https://www.sejong.ac.kr/kor/college/global-culinary-art-pastry.do
3,2,전공선택,식품발효학,"발효, 효소, 미생물",https://www.sejong.ac.kr/kor/college/global-culinary-art-pastry.do
