학년,학기,이수구분,과목명,키워드,URL
1,1,전공선택,경영학원론,"경영, 조직, 관리",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
1,1,전공선택,마케팅원론,"마케팅, 시장, 소비자",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
1,1,전공선택,관광산업의이해,"관광, 여행, 서비스",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
1,1,전공선택,컴퓨터의활용과이해,"컴퓨터, IT, 엑셀",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
1,1,전공선택,조리기초실습,"조리, 요리, 실습",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
1,1,전공선택,Coffee Barista 실습,"커피, 바리스타, 실습",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
1,1,전공선택,세계음식문화사,"음식, 문화, 역사",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
1,1,전공선택,호텔외식조리경영실무1,"호텔, 외식, 조리",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
1,2,전공필수,회계원리,"회계, 재무제표, 장부",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
1,2,전공선택,경제학원론,"경제, 시장, 수요공급",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
1,2,전공선택,호텔외식비즈니스의이해,"호텔, 외식, 비즈니스",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
1,2,전공선택,글로벌식생활문화,"식문화, 글로벌, 에티켓",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
1,2,전공선택,컴퓨터를활용한기초통계,"통계, 데이터분석, 엑셀",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
1,2,전공선택,호텔외식영어,"영어, 호텔, 서비스",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
1,2,전공선택,모던이스트퀴진실습,"조리, 분자요리, 실습",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
1,2,전공선택,서비스매너,"서비스, 매너, 고객응대",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
1,2,전공선택,푸드투어리즘,"미식여행, 관광, 음식",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
1,2,전공선택,호텔외식경영실무2,"호텔, 외식, 경영",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
2,1,전공선택,호텔연회기획과케이터링경영,"연회, 케이터링, 파티",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
2,1,전공선택,호텔외식서비스마케팅,"마케팅, 서비스, 호텔",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
2,1,전공선택,주류학,"와인, 칵테일, 주류",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
2,1,전공선택,외식영양과건강,"영양, 건강, 식품",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
2,1,전공선택,카지노기초실무론,"카지노, 게임, 딜러",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
2,1,전공선택,카이세키&이자까야실습,"일식, 조리, 실습",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
2,1,전공선택,한식조리이론및실습1,"한식, 조리, 실습",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
2,1,전공선택,외식창업론,"창업, 사업계획, 외식",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
2,1,전공선택,고객커뮤니케이션전략,"소통, 상담, 고객만족",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
2,1,전공선택,호텔외식조리경영실무3,"호텔, 외식, 조리",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
2,2,전공선택,호텔외식식품위생관리,"위생, HACCP, 안전",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
2,2,전공선택,호텔외식서비스경영론,"서비스경영, 품질관리",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
2,2,전공선택,푸드스타일링,"스타일링, 촬영, 연출",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
2,2,전공선택,레스토랑경영론,"레스토랑, 경영, 운영",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
2,2,전공선택,고객심리학,"심리, 소비자행동",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
2,2,전공선택,유러피언퀴진실습,"양식, 조리, 실습",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
2,2,전공선택,Boulanger실습,"제빵, 베이커리, 실습",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
2,2,전공선택,소믈리에실무,"와인, 소믈리에, 시음",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
2,2,전공선택,"항공,크루즈산업","항공, 크루즈, 관광",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
2,2,전공선택,호텔외식경영실무4,"호텔, 외식, 경영",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
3,1,전공필수,외식산업경영론,"외식산업, 경영전략",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
3,1,전공필수,호텔외식마케팅,"호텔, 외식, 마케팅",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
3,1,전공선택,호텔외식인적자원관리,"인사, HRM, 노무",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
3,1,전공선택,호텔외식프랜차이즈경영론,"프랜차이즈, 가맹사업",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
3,1,전공선택,외식주방경영론,"주방관리, 설비, 원가",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
3,1,전공선택,K-Food & 세계요리실습,"한식, 세계요리, 실습",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
3,1,전공선택,에스닉푸드실습,"에스닉, 세계음식, 조리",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
3,1,전공선택,레스토랑디자인,"인테리어, 공간설계",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
3,1,전공선택,식품관련법규,"법규, 식품위생법",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
3,1,전공선택,호텔외식경영실무5,"호텔, 외식, 실무",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
3,2,전공필수,호텔기업경영론,"호텔경영, 사업전략",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
3,2,전공필수,호텔외식원가관리,"원가관리, 회계, 수익성",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
3,2,전공선택,호텔외식소비자행동,"소비자행동, 심리",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
3,2,전공선택,커피학개론,"커피, 원두, 추출",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
3,2,전공선택,호텔외식재무회계,"재무, 회계, 호텔재무",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
3,2,전공선택,풍과소스실습,"소스, 조리, 실습",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
3,2,전공선택,Patissier 실습,"제과, 디저트, 실습",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
3,2,전공선택,메뉴디자인,"메뉴개발, 디자인",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
3,2,전공선택,호텔외식경영실무6,"호텔, 외식, 실무",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
4,1,전공선택,호텔외식컨설팅,"컨설팅, 진단, 분석",https://www.sejong.ac.kr/kor/college/hotel-restaurant-business.do
