학년,학기,이수구분,과목명,키워드,URL
1,1,전필,교육학의탐구,"교육학기초, 교육학개론",https://www.sejong.ac.kr/kor/college/education.do
1,1,전선,대학과진로,"진로설계, 대학생활",https://www.sejong.ac.kr/kor/college/education.do
1,2,전필,인문학과교육,"인문학, 교육철학",https://www.sejong.ac.kr/kor/college/education.do
1,2,전선,인지심리학,"심리학, 인지과학, 학습",https://www.sejong.ac.kr/kor/college/education.do
2,1,전필,교육철학의이해@,"교육사상, 철학",https://www.sejong.ac.kr/kor/college/education.do
2,1,전선,평생교육론@**(**),"평생학습, 평생교육",https://www.sejong.ac.kr/kor/college/education.do
2,1,전선,발달심리학,"발달과정, 심리학",https://www.sejong.ac.kr/kor/college/education.do
2,1,전선,정보공학의교육적활용,"에듀테크, 정보통신",https://www.sejong.ac.kr/kor/college/education.do
2,1,전선,교수학습이론@,"학습이론, 교수법",https://www.sejong.ac.kr/kor/college/education.do
2,2,전필,교육공학의이론과실제@(*),"교육공학, 교수설계",https://www.sejong.ac.kr/kor/college/education.do
2,2,전필,교육행정의이론과실제@,"교육행정, 교육경영",https://www.sejong.ac.kr/kor/college/education.do
2,2,전선,서양교육사상가연구,"서양교육사, 사상가",https://www.sejong.ac.kr/kor/college/education.do
2,2,전선,교육과정과프로그램개발@,"커리큘럼, 프로그램설계",https://www.sejong.ac.kr/kor/college/education.do
2,2,전선,평생교육방법론**(**),"평생교육, 교수학습법",https://www.sejong.ac.kr/kor/college/education.do
2,2,전선,교육연구방법론,"연구방법, 질적연구, 양적연구",https://www.sejong.ac.kr/kor/college/education.do
3,1,전필,교육심리의이론과실제@,"교육심리, 학습심리",https://www.sejong.ac.kr/kor/college/education.do
3,1,전선,교육학교과교육론,"교직, 교수법, 교육학",https://www.sejong.ac.kr/kor/college/education.do
3,1,전선,원격교육론**(*),"온라인교육, 원격학습",https://www.sejong.ac.kr/kor/college/education.do
3,1,전선,기업교육론*(*),"HRD, 기업교육, 인재육성",https://www.sejong.ac.kr/kor/college/education.do
3,1,전선,한국사상과교육,"한국교육사, 전통사상",https://www.sejong.ac.kr/kor/college/education.do
3,1,전선,교육사회학이론과사상,"교육사회학, 사회구조",https://www.sejong.ac.kr/kor/college/education.do
3,1,전선,청소년교육론(*),"청소년기, 상담, 지도",https://www.sejong.ac.kr/kor/college/education.do
3,1,전선,직업진로설계(*),"진로상담, 직업설계",https://www.sejong.ac.kr/kor/college/education.do
3,1,전선,사이버윤리와교육,"정보윤리, 디지털시민성",https://www.sejong.ac.kr/kor/college/education.do
3,2,전필,교육통계,"통계학, 데이터분석",https://www.sejong.ac.kr/kor/college/education.do
3,2,전선,교육사회학@*(*),"교육격차, 불평등, 사회학",https://www.sejong.ac.kr/kor/college/education.do
3,2,전선,인적자원개발론**(*),"HRD, 역량모델링",https://www.sejong.ac.kr/kor/college/education.do
3,2,전선,현대교육사상,"현대철학, 포스트모더니즘",https://www.sejong.ac.kr/kor/college/education.do
3,2,전선,국제·다문화교육제도,"다문화교육, 글로벌교육",https://www.sejong.ac.kr/kor/college/education.do
3,2,전선,평생교육프로그램개발론**(**),"평생교육, 프로그램기획",https://www.sejong.ac.kr/kor/college/education.do
3,2,전선,특수교육론(*),"특수교육, 장애학생지원",https://www.sejong.ac.kr/kor/college/education.do
3,2,전선,교육학교과교재연구및지도법,"교재연구, 교직, 수업설계",https://www.sejong.ac.kr/kor/college/education.do
3,2,전선,교육학논리및논술,"논술지도, 비판적사고",https://www.sejong.ac.kr/kor/college/education.do
4,1,전선,교육평가론@,"학습평가, 측정, 통계",https://www.sejong.ac.kr/kor/college/education.do
4,1,전선,학생상담의이론과실제@,"생활지도, 상담이론",https://www.sejong.ac.kr/kor/college/education.do
4,1,전선,최신학습설계이론,"학습이론심화, 설계모델",https://www.sejong.ac.kr/kor/college/education.do
4,1,전선,평생교육실습(**),"현장실습, 평생교육사",https://www.sejong.ac.kr/kor/college/education.do
4,1,전선,고등교육론,"대학교육, 고등교육정책",https://www.sejong.ac.kr/kor/college/education.do
4,1,전선,추리통계방법,"심화통계, 추론통계",https://www.sejong.ac.kr/kor/college/education.do
4,2,전선,평생교육경영론**(**),"평생교육기관, 운영관리",https://www.sejong.ac.kr/kor/college/education.do
4,2,전선,성인학습및상담**(*),"성인학습자, 평생상담",https://www.sejong.ac.kr/kor/college/education.do
4,2,전선,사회조사방법론(*),"여론조사, 실태분석",https://www.sejong.ac.kr/kor/college/education.do
4,2,전선,심리검사,"심리측정, 도구활용",https://www.sejong.ac.kr/kor/college/education.do
4,2,전선,이러닝·모바일학습의탐구,"이러닝, 모바일교육, 디지털",https://www.sejong.ac.kr/kor/college/education.do
