학년,학기,이수구분,과목명,키워드,URL
1,1,전공선택,한국문학의이해,"문학기초, 고전문학, 현대문학",https://www.sejong.ac.kr/kor/college/korean-language-and-literature.do
1,1,전공선택,한국어의사소통기법,"화법, 커뮤니케이션, 작문",https://www.sejong.ac.kr/kor/college/korean-language-and-literature.do
1,2,전공선택,한국어의이해,"언어학, 국어학, 기초",https://www.sejong.ac.kr/kor/college/korean-language-and-literature.do
1,2,전공선택,한국문학의장르론,"시, 소설, 수필, 장르",https://www.sejong.ac.kr/kor/college/korean-language-and-literature.do
2,1,전공필수,한국어문법론,"문법, 형태론, 통사론",https://www.sejong.ac.kr/kor/college/korean-language-and-literature.do
2,1,전공필수,한국한문학의이해,"한문학, 고전, 한자",https://www.sejong.ac.kr/kor/college/korean-language-and-literature.do
2,1,전공선택,한국현대소설론,"현대소설, 작가론, 작품분석",https://www.sejong.ac.kr/kor/college/korean-language-and-literature.do
2,1,전공선택,스토리텔링의기법과활용,"서사, 콘텐츠, 창작",https://www.sejong.ac.kr/kor/college/korean-language-and-literature.do
2,2,전공필수,국어국문학의현재와미래,"학문전망, 전공기초, 학문학",https://www.sejong.ac.kr/kor/college/korean-language-and-literature.do
2,2,전공선택,향가여요론,"고전시가, 향가, 고려가요",https://www.sejong.ac.kr/kor/college/korean-language-and-literature.do
2,2,전공선택,한국어어문생활의실제,"맞춤법, 어문규정, 실무",https://www.sejong.ac.kr/kor/college/korean-language-and-literature.do
2,2,전공선택,한국근대시론,"근대시, 시론, 비평",https://www.sejong.ac.kr/kor/college/korean-language-and-literature.do
3,1,전공필수,한국어교육론,"한국어교육, 외국어로서의한국어, 교수법",https://www.sejong.ac.kr/kor/college/korean-language-and-literature.do
3,1,전공선택,시조가사론,"고전시가, 시조, 가사",https://www.sejong.ac.kr/kor/college/korean-language-and-literature.do
3,1,전공선택,한국어의미론,"의미론, 담화, 어휘",https://www.sejong.ac.kr/kor/college/korean-language-and-literature.do
3,1,전공선택,한국현대시론,"현대시, 시론, 비평",https://www.sejong.ac.kr/kor/college/korean-language-and-literature.do
3,1,전공선택,한국문학과매체글쓰기,"매체, 작문, 콘텐츠",https://www.sejong.ac.kr/kor/college/korean-language-and-literature.do
3,1,전공선택,국어교과교육론,"국어교육, 교직, 교수이론",https://www.sejong.ac.kr/kor/college/korean-language-and-literature.do
3,2,전공필수,한국고전소설론,"고전소설, 서사문학, 고전",https://www.sejong.ac.kr/kor/college/korean-language-and-literature.do
3,2,전공선택,한국문화와한국어교육,"문화교육, 한국어교육, 상호문화",https://www.sejong.ac.kr/kor/college/korean-language-and-literature.do
3,2,전공선택,한국근대소설론,"근대소설, 문학사, 작가연구",https://www.sejong.ac.kr/kor/college/korean-language-and-literature.do
3,2,전공선택,한국문학과영상문화,"영상, 영화, 콘텐츠, 융합",https://www.sejong.ac.kr/kor/college/korean-language-and-literature.do
3,2,전공선택,한국현대희곡론,"희곡, 연극, 시나리오",https://www.sejong.ac.kr/kor/college/korean-language-and-literature.do
3,2,전공선택,국어교과교재연구및지도법,"교직, 수업설계, 지도법",https://www.sejong.ac.kr/kor/college/korean-language-and-literature.do
3,2,전공선택,국어논리및논술,"논술, 교육, 논리적사고",https://www.sejong.ac.kr/kor/college/korean-language-and-literature.do
4,1,전공선택,한국고전비평론,"고전비평, 문학이론, 비평사",https://www.sejong.ac.kr/kor/college/korean-language-and-literature.do
4,1,전공선택,한국어의역사,"국어사, 언어변천, 고대국어",https://www.sejong.ac.kr/kor/college/korean-language-and-literature.do
4,1,전공선택,독서교육론,"독서, 교육, 교수법, 리터러시",https://www.sejong.ac.kr/kor/college/korean-language-and-literature.do
4,1,전공선택,한국문학과문화콘텐츠,"콘텐츠, 문화산업, 스토리텔링",https://www.sejong.ac.kr/kor/college/korean-language-and-literature.do
4,2,전공선택,한국문학의역사,"한국문학사, 시대별흐름, 문학계보",https://www.sejong.ac.kr/kor/college/korean-language-and-literature.do
4,2,전공선택,한국어화용론,"화용론, 맥락, 담화분석",https://www.sejong.ac.kr/kor/college/korean-language-and-literature.do
4,2,전공선택,한국어정보처리론,"자연어처리, 언어정보, 전산국어학",https://www.sejong.ac.kr/kor/college/korean-language-and-literature.do
