학년,학기,이수구분,과목명,키워드,URL
1,1,전공선택,언어이야기,"언어학, 인문학, 기초",https://www.sejong.ac.kr/kor/college/english-language-and-literature.do
1,1,전공선택,언어학과 디지털휴머니티,"디지털휴머니티, 융합, 인문데이터",https://www.sejong.ac.kr/kor/college/english-language-and-literature.do
1,1,전공선택,영미문학의세계,"영미문학, 고전, 문화",https://www.sejong.ac.kr/kor/college/english-language-and-literature.do
1,2,전공선택,미래사회와 언어데이터,"미래사회, 언어데이터, 트렌드",https://www.sejong.ac.kr/kor/college/english-language-and-literature.do
1,2,전공선택,언어와 문화의 번역,"번역, 언어문화, 통번역",https://www.sejong.ac.kr/kor/college/english-language-and-literature.do
1,2,전공선택,어휘활용: 빅데이터 분석,"빅데이터, 어휘분석, 텍스트마이닝",https://www.sejong.ac.kr/kor/college/english-language-and-literature.do
2,1,전공필수,영어속의 논리,"영어논리, 비판적사고, 독해",https://www.sejong.ac.kr/kor/college/english-language-and-literature.do
2,1,전공필수,영어문법의 이해와 활용,"영문법, 문법활용, 영작문",https://www.sejong.ac.kr/kor/college/english-language-and-literature.do
2,1,전공선택,실용영어표현,"실용영어, 회화, 커뮤니케이션",https://www.sejong.ac.kr/kor/college/english-language-and-literature.do
2,1,전공선택,인지체계와 소통능력,"인지과학, 소통, 언어심리",https://www.sejong.ac.kr/kor/college/english-language-and-literature.do
2,1,전공선택,영어듣기와 말하기,"영어청취, 영어회화",https://www.sejong.ac.kr/kor/college/english-language-and-literature.do
2,1,전공선택,영미작가이야기,"영미문학, 작가연구",https://www.sejong.ac.kr/kor/college/english-language-and-literature.do
2,1,전공선택,영미드라마의 이해,"영미드라마, 문화, 스크립트",https://www.sejong.ac.kr/kor/college/english-language-and-literature.do
2,1,전공선택,언어데이터와 텍스트마이닝,"텍스트마이닝, 자연어처리, 데이터분석",https://www.sejong.ac.kr/kor/college/english-language-and-literature.do
2,1,전공선택,영어에세이읽기,"에세이, 독해, 비판적읽기",https://www.sejong.ac.kr/kor/college/english-language-and-literature.do
2,2,전공필수,영어어휘와 발음,"영어어휘, 발음교정, 음성학",https://www.sejong.ac.kr/kor/college/english-language-and-literature.do
2,2,전공선택,국제업무와 영어,"비즈니스영어, 실무영어",https://www.sejong.ac.kr/kor/college/english-language-and-literature.do
2,2,전공선택,코퍼스속의 영어어휘,"코퍼스, 언어데이터, 어휘연구",https://www.sejong.ac.kr/kor/college/english-language-and-literature.do
2,2,전공선택,IT기반 로컬라이제이션,"로컬라이제이션, IT번역, 현지화",https://www.sejong.ac.kr/kor/college/english-language-and-literature.do
2,2,전공선택,영미단편소설,"단편소설, 문학분석",https://www.sejong.ac.kr/kor/college/english-language-and-literature.do
2,2,전공선택,영어토론과 발표,"영어토론, 발표, PT",https://www.sejong.ac.kr/kor/college/english-language-and-literature.do
2,2,전공선택,영어와 컴퓨터,"컴퓨팅, 영어융합, 기초전산",https://www.sejong.ac.kr/kor/college/english-language-and-literature.do
2,2,전공선택,영미문화탐방,"영미문화, 여행, 지리",https://www.sejong.ac.kr/kor/college/english-language-and-literature.do
2,2,전공선택,현대사회와 영어,"현대사회, 영어뉴스, 시사영어",https://www.sejong.ac.kr/kor/college/english-language-and-literature.do
2,2,전공선택,미국문학의 흐름,"미국문학사, 시대별흐름",https://www.sejong.ac.kr/kor/college/english-language-and-literature.do
2,2,전공선택,영문번역연습,"번역실습, 영한번역",https://www.sejong.ac.kr/kor/college/english-language-and-literature.do
2,2,전공선택,영어작문,"영작문, 글쓰기",https://www.sejong.ac.kr/kor/college/english-language-and-literature.do
3,1,전공필수,영어의미의 흐름,"의미론, 언어변천, 역사",https://www.sejong.ac.kr/kor/college/english-language-and-literature.do
3,1,전공선택,영어교과교육론,"영어교육, 교직, 교수법",https://www.sejong.ac.kr/kor/college/english-language-and-literature.do
3,1,전공선택,언어인지와 영어,"인지언어학, 영어학",https://www.sejong.ac.kr/kor/college/english-language-and-literature.do
3,1,전공선택,영어음성음운론,"음성학, 음운론, 발음원리",https://www.sejong.ac.kr/kor/college/english-language-and-literature.do
3,1,전공선택,영미소설의 이해,"영미소설, 소설론",https://www.sejong.ac.kr/kor/college/english-language-and-literature.do
3,1,전공선택,영국사회와 문학,"영국문화, 영국문학사",https://www.sejong.ac.kr/kor/college/english-language-and-literature.do
3,1,전공선택,실용영문법,"실용문법, 문법교정",https://www.sejong.ac.kr/kor/college/english-language-and-literature.do
3,1,전공선택,미디어번역,"영상번역, 미디어, 자막번역",https://www.sejong.ac.kr/kor/college/english-language-and-literature.do
