학년,학기,이수구분,과목명,키워드,URL
1,1,교양필수,English Listening Practice 1,"영어, 청취, 외국어",https://www.sejong.ac.kr/kor/college/japanese-language-and-literature-major.do
1,1,교양필수,서양철학:쟁점과토론,"철학, 인문학, 토론",https://www.sejong.ac.kr/kor/college/japanese-language-and-literature-major.do
1,1,교양필수,신입생세미나,"진로, 세미나, 대학생활",https://www.sejong.ac.kr/kor/college/japanese-language-and-literature-major.do
1,1,교양선택,컴퓨터사고기반기초코딩,"코딩, SW, 기초",https://www.sejong.ac.kr/kor/college/japanese-language-and-literature-major.do
1,1,전공선택,영미문학의세계,"문학기초, 영미문학",https://www.sejong.ac.kr/kor/college/japanese-language-and-literature-major.do
1,1,전공선택,영어학의세계,"영어학, 언어학",https://www.sejong.ac.kr/kor/college/japanese-language-and-literature-major.do
1,1,전공선택,일본사회의이해,"일본사회, 일본문화",https://www.sejong.ac.kr/kor/college/japanese-language-and-literature-major.do
1,1,전공선택,일본어A1,"일본어기초, 문법, 회화",https://www.sejong.ac.kr/kor/college/japanese-language-and-literature-major.do
1,1,전공선택,세계화와국제관계,"세계화, 국제관계",https://www.sejong.ac.kr/kor/college/japanese-language-and-literature-major.do
1,1,전공선택,중국어입문,"중국어, 기초외국어",https://www.sejong.ac.kr/kor/college/japanese-language-and-literature-major.do
1,1,전공선택,시장경제의원리,"경제학, 시장경제",https://www.sejong.ac.kr/kor/college/japanese-language-and-literature-major.do
1,1,전공선택,한국어의이해1,"한국어학, 언어학",https://www.sejong.ac.kr/kor/college/japanese-language-and-literature-major.do
1,2,교양필수,문제해결을위한글쓰기와발표,"작문, 발표, 커뮤니케이션",https://www.sejong.ac.kr/kor/college/japanese-language-and-literature-major.do
1,2,교양선택,세종사회봉사1,"봉사, 사회공헌",https://www.sejong.ac.kr/kor/college/japanese-language-and-literature-major.do
1,2,교양필수,대학생활과진로탐색,"진로, 취업, 상담",https://www.sejong.ac.kr/kor/college/japanese-language-and-literature-major.do
1,2,교양선택,프로그래밍입문-P,"파이썬, 코딩, 프로그래밍",https://www.sejong.ac.kr/kor/college/japanese-language-and-literature-major.do
1,2,전공선택,영어의활용,"영어실무, 회화",https://www.sejong.ac.kr/kor/college/japanese-language-and-literature-major.do
1,2,전공선택,영문번역의첫걸음,"번역기초, 영어번역",https://www.sejong.ac.kr/kor/college/japanese-language-and-literature-major.do
1,2,전공선택,어휘활용:빅데이터분석,"빅데이터, 텍스트마이닝",https://www.sejong.ac.kr/kor/college/japanese-language-and-literature-major.do
1,2,전공선택,일본문화,"일본문화, 풍습, 역사",https://www.sejong.ac.kr/kor/college/japanese-language-and-literature-major.do
1,2,전공선택,일본어A2,"일본어기초, 심화회화",https://www.sejong.ac.kr/kor/college/japanese-language-and-literature-major.do
1,2,전공선택,현대중국의이해,"중국사회, 현대중국",https://www.sejong.ac.kr/kor/college/japanese-language-and-literature-major.do
1,2,전공선택,초급중국어,"중국어, 기초회화",https://www.sejong.ac.kr/kor/college/japanese-language-and-literature-major.do
1,2,전공선택,한국어와중국문화,"한국어, 중국문화, 비교언어",https://www.sejong.ac.kr/kor/college/japanese-language-and-literature-major.do
2,1,교양필수,English Reading Practice 1,"영어, 독해, 외국어",https://www.sejong.ac.kr/kor/college/japanese-language-and-literature-major.do
2,1,전공선택,일본어B1,"일본어중급, 회화, 문법",https://www.sejong.ac.kr/kor/college/japanese-language-and-literature-major.do
2,1,전공선택,일본어문법,"일본어문법, 형태론, 통사론",https://www.sejong.ac.kr/kor/college/japanese-language-and-literature-major.do
2,1,전공선택,일본어작문,"일작문, 작문실습",https://www.sejong.ac.kr/kor/college/japanese-language-and-literature-major.do
2,1,전공선택,일본어청취,"청해, 리스닝",https://www.sejong.ac.kr/kor/college/japanese-language-and-literature-major.do
2,1,전공선택,일본문학입문,"일문학, 문학이론",https://www.sejong.ac.kr/kor/college/japanese-language-and-literature-major.do
2,1,전공선택,문화콘텐츠와인문학,"문화콘텐츠, 인문학, 스토리텔링",https://www.sejong.ac.kr/kor/college/japanese-language-and-literature-major.do
2,2,교양선택,세계사:인간과문명,"세계사, 인문학",https://www.sejong.ac.kr/kor/college/japanese-language-and-literature-major.do
2,2,전공선택,일본어B2,"일본어중급, 심화회화",https://www.sejong.ac.kr/kor/college/japanese-language-and-literature-major.do
2,2,전공선택,일본어강독,"독해, 텍스트읽기",https://www.sejong.ac.kr/kor/college/japanese-language-and-literature-major.do
2,2,전공선택,일본어회화,"회화실습, 커뮤니케이션",https://www.sejong.ac.kr/kor/college/japanese-language-and-literature-major.do
2,2,전공선택,일본역사의이해,"일본사, 시대별흐름",https://www.sejong.ac.kr/kor/college/japanese-language-and-literature-major.do
2,2,전공선택,일본사회입문,"일본사회, 정치경제",https://www.sejong.ac.kr/kor/college/japanese-language-and-literature-major.do
2,2,전공선택,일본기업경영론,"일본기업, 경영학, 비즈니스",https://www.sejong.ac.kr/kor/college/japanese-language-and-literature-major.do
