학년,학기,이수구분,과목명,키워드,URL
1,1,중핵필수,English Listening Practice 1,"영어, 청취, 외국어",https://www.sejong.ac.kr/kor/college/chinese-trade-and-commerce-major.do
1,1,중핵필수,서양철학:쟁점과토론,"철학, 인문학, 토론",https://www.sejong.ac.kr/kor/college/chinese-trade-and-commerce-major.do
1,1,중핵필수,대학생활과진로설계,"진로, 대학생활",https://www.sejong.ac.kr/kor/college/chinese-trade-and-commerce-major.do
1,1,중핵필수선택,소프트웨어기초코딩,"코딩, SW, 파이썬",https://www.sejong.ac.kr/kor/college/chinese-trade-and-commerce-major.do
1,1,전공선택,E-커뮤니케이션솔루션,"커뮤니케이션, 온라인, 소통",https://www.sejong.ac.kr/kor/college/chinese-trade-and-commerce-major.do
1,1,전공선택,글로벌조인트영어,"글로벌, 어학, 융합",https://www.sejong.ac.kr/kor/college/chinese-trade-and-commerce-major.do
1,1,전공선택,글로벌조인트일본어,"글로벌, 일본어, 융합",https://www.sejong.ac.kr/kor/college/chinese-trade-and-commerce-major.do
1,1,전공선택,글로벌조인트중국어,"글로벌, 중국어, 융합",https://www.sejong.ac.kr/kor/college/chinese-trade-and-commerce-major.do
1,1,전공선택,세계화와국제관계,"국제관계, 세계화, 정치",https://www.sejong.ac.kr/kor/college/chinese-trade-and-commerce-major.do
1,1,전공선택,영미문학의세계,"영미문학, 기초",https://www.sejong.ac.kr/kor/college/chinese-trade-and-commerce-major.do
1,1,전공선택,영어학의세계,"언어학, 영어학",https://www.sejong.ac.kr/kor/college/chinese-trade-and-commerce-major.do
1,1,전공선택,일본사회의이해,"일본사회, 문화",https://www.sejong.ac.kr/kor/college/chinese-trade-and-commerce-major.do
1,1,전공선택,일본어A1,"일본어기초, 입문",https://www.sejong.ac.kr/kor/college/chinese-trade-and-commerce-major.do
1,1,전공선택,중국어입문,"중국어기초, 성조, 입문",https://www.sejong.ac.kr/kor/college/chinese-trade-and-commerce-major.do
1,2,중핵필수,English Listening Practice 2,"영어, 청취, 심화",https://www.sejong.ac.kr/kor/college/chinese-trade-and-commerce-major.do
1,2,중핵필수,문제해결을위한글쓰기와발표,"작문, 발표, 논리",https://www.sejong.ac.kr/kor/college/chinese-trade-and-commerce-major.do
1,2,중핵필수,세종사회봉사1,"봉사, 사회공헌",https://www.sejong.ac.kr/kor/college/chinese-trade-and-commerce-major.do
1,2,중핵필수선택,프로그래밍입문-P,"파이썬, 프로그래밍, 코딩",https://www.sejong.ac.kr/kor/college/chinese-trade-and-commerce-major.do
1,2,전공선택,시장경제의원리,"경제학, 시장경제, 원론",https://www.sejong.ac.kr/kor/college/chinese-trade-and-commerce-major.do
1,2,전공선택,어휘활용:빅데이터분석,"빅데이터, 어휘분석, 텍스트마이닝",https://www.sejong.ac.kr/kor/college/chinese-trade-and-commerce-major.do
1,2,전공선택,영문번역의첫걸음,"번역기초, 영한번역",https://www.sejong.ac.kr/kor/college/chinese-trade-and-commerce-major.do
1,2,전공선택,영어의활용,"실용영어, 회화",https://www.sejong.ac.kr/kor/college/chinese-trade-and-commerce-major.do
1,2,전공선택,일본문화,"일본문화, 역사",https://www.sejong.ac.kr/kor/college/chinese-trade-and-commerce-major.do
1,2,전공선택,일본어A2,"일본어기초, 심화",https://www.sejong.ac.kr/kor/college/chinese-trade-and-commerce-major.do
1,2,전공선택,초급중국어,"중국어회화, 기초",https://www.sejong.ac.kr/kor/college/chinese-trade-and-commerce-major.do
1,2,전공선택,현대중국의이해,"중국사회, 현대사, 정치",https://www.sejong.ac.kr/kor/college/chinese-trade-and-commerce-major.do
2,1,중핵필수,English Reading Practice 1,"영어, 독해, 외국어",https://www.sejong.ac.kr/kor/college/chinese-trade-and-commerce-major.do
2,1,전공필수,중국근현대사,"역사, 중국사, 근현대",https://www.sejong.ac.kr/kor/college/chinese-trade-and-commerce-major.do
2,1,전공필수,거시경제의이해,"경제학, 거시경제, 소득",https://www.sejong.ac.kr/kor/college/chinese-trade-and-commerce-major.do
2,1,전공선택,중급중국어1,"중국어학, 중급회화",https://www.sejong.ac.kr/kor/college/chinese-trade-and-commerce-major.do
2,1,전공선택,인물과중국,"중국인물, 역사, 사상",https://www.sejong.ac.kr/kor/college/chinese-trade-and-commerce-major.do
2,1,전공선택,중급중국어연습1,"중국어연습, 문법",https://www.sejong.ac.kr/kor/college/chinese-trade-and-commerce-major.do
2,2,중핵필수,English Reading Practice 2,"영어, 독해, 심화",https://www.sejong.ac.kr/kor/college/chinese-trade-and-commerce-major.do
2,2,전공필수,국제통상개론,"무역, 통상, 국제경제",https://www.sejong.ac.kr/kor/college/chinese-trade-and-commerce-major.do
2,2,전공선택,중급중국어2,"중국어학, 심화중급",https://www.sejong.ac.kr/kor/college/chinese-trade-and-commerce-major.do
2,2,전공선택,중급중국어연습2,"중국어연습, 회화",https://www.sejong.ac.kr/kor/college/chinese-trade-and-commerce-major.do
2,2,전공선택,중국사상과역사,"철학, 사상, 역사",https://www.sejong.ac.kr/kor/college/chinese-trade-and-commerce-major.do
2,2,전공선택,중국현지조사,"현장실습, 현지조사",https://www.sejong.ac.kr/kor/college/chinese-trade-and-commerce-major.do
3,1,전공필수,중국어독해,"독해실습, 중국어문장",https://www.sejong.ac.kr/kor/college/chinese-trade-and-commerce-major.do
3,1,전공선택,중국어회화1,"회화실습, 커뮤니케이션",https://www.sejong.ac.kr/kor/college/chinese-trade-and-commerce-major.do
3,1,전공선택,중국지역문화,"지역학, 문화연구, 풍습",https://www.sejong.ac.kr/kor/college/chinese-trade-and-commerce-major.do
