학년,학기,이수구분,과목명,키워드,URL
1,1,전공기초,식품공학개론,"식품공학, 기초이론, 개론",https://www.sejong.ac.kr/kor/college/food-science-and-biotechnology.do
1,1,전공기초,일반생물학,"생물학, 기초과학, 생명과학",https://www.sejong.ac.kr/kor/college/food-science-and-biotechnology.do
1,1,전공기초,일반화학및실험1,"화학, 실험, 기초과학",https://www.sejong.ac.kr/kor/college/food-science-and-biotechnology.do
1,1,전공기초,미적분학및연습1,"미적분, 수학, 수리모델",https://www.sejong.ac.kr/kor/college/food-science-and-biotechnology.do
1,1,전공기초,전산개론,"컴퓨터기초, IT, 데이터",https://www.sejong.ac.kr/kor/college/food-science-and-biotechnology.do
1,2,전공기초,일반화학및실험2,"심화화학, 실험, 물질",https://www.sejong.ac.kr/kor/college/food-science-and-biotechnology.do
1,2,전공기초,미적분학및연습2,"심화수학, 미분적분",https://www.sejong.ac.kr/kor/college/food-science-and-biotechnology.do
2,1,전공선택,생물통계학,"통계, 데이터분석, 생물통계",https://www.sejong.ac.kr/kor/college/food-science-and-biotechnology.do
2,1,전공선택,공업수학1,"공학수학, 수리해석",https://www.sejong.ac.kr/kor/college/food-science-and-biotechnology.do
2,1,전공선택,식품화학1,"식품화학, 성분분석",https://www.sejong.ac.kr/kor/college/food-science-and-biotechnology.do
2,1,전공선택,생화학,"대사, 효소, 분자생물학",https://www.sejong.ac.kr/kor/college/food-science-and-biotechnology.do
2,1,전공선택,일반미생물학및실험,"미생물, 배양, 실험",https://www.sejong.ac.kr/kor/college/food-science-and-biotechnology.do
2,2,전공선택,생물물리학,"물리학, 생물물리, 에너지",https://www.sejong.ac.kr/kor/college/food-science-and-biotechnology.do
2,2,전공선택,분석화학 및 실험,"정량분석, 기기분석, 실험",https://www.sejong.ac.kr/kor/college/food-science-and-biotechnology.do
2,2,전공선택,생물유기화학,"유기화학, 반응기작",https://www.sejong.ac.kr/kor/college/food-science-and-biotechnology.do
2,2,전공선택,식품일반미생물학,"미생물학, 균주, 식품",https://www.sejong.ac.kr/kor/college/food-science-and-biotechnology.do
3,1,전공선택,식품공학,"식품공정, 단위조작, 공학",https://www.sejong.ac.kr/kor/college/food-science-and-biotechnology.do
3,1,전공선택,식품가공학실험,"가공실습, 제품제조, 실험",https://www.sejong.ac.kr/kor/college/food-science-and-biotechnology.do
3,1,전공선택,축산식품가공학,"육가공, 축산물, 가공",https://www.sejong.ac.kr/kor/college/food-science-and-biotechnology.do
3,1,전공선택,식품화학2 및 실험,"심화식품화학, 실험",https://www.sejong.ac.kr/kor/college/food-science-and-biotechnology.do
3,1,전공선택,영양화학,"영양소, 영양학, 생리현상",https://www.sejong.ac.kr/kor/college/food-science-and-biotechnology.do
3,1,전공선택,식품저장학,"보관, 유통기한, 저장기술",https://www.sejong.ac.kr/kor/college/food-science-and-biotechnology.do
3,2,전공선택,식품포장학,"포장기술, 패키징, 소재",https://www.sejong.ac.kr/kor/college/food-science-and-biotechnology.do
3,2,전공선택,식품가공학실험,"가공실습, 제조공정",https://www.sejong.ac.kr/kor/college/food-science-and-biotechnology.do
3,2,전공선택,유가공학및실험,"유제품, 우유, 실험",https://www.sejong.ac.kr/kor/college/food-science-and-biotechnology.do
3,2,전공선택,식품개발및실험,"신제품개발, 기획, 실습",https://www.sejong.ac.kr/kor/college/food-science-and-biotechnology.do
3,2,전공선택,식품분석및실험,"성분분석, 품질관리, 실험",https://www.sejong.ac.kr/kor/college/food-science-and-biotechnology.do
3,2,전공선택,식품미생물학 및 실험,"식품미생물, 발효, 부패",https://www.sejong.ac.kr/kor/college/food-science-and-biotechnology.do
4,1,전공선택,나노식품공학,"나노기술, 신소재, 식품공학",https://www.sejong.ac.kr/kor/college/food-science-and-biotechnology.do
4,1,전공선택,식품첨가물학,"첨가물, 안전성, 법규",https://www.sejong.ac.kr/kor/college/food-science-and-biotechnology.do
4,1,전공선택,기능성식품학,"건강기능식품, 생리활성",https://www.sejong.ac.kr/kor/college/food-science-and-biotechnology.do
4,1,전공선택,발효공학,"미생물발효, 주류, 장류",https://www.sejong.ac.kr/kor/college/food-science-and-biotechnology.do
4,1,전공선택,식품안전및법규,"HACCP, 위생법, 안전관리",https://www.sejong.ac.kr/kor/college/food-science-and-biotechnology.do
4,1,전공선택,식품유통학,"물류, 유통구조, 공급망",https://www.sejong.ac.kr/kor/college/food-science-and-biotechnology.do
4,1,전공선택,식품마케팅,"마케팅, 트렌드, 소비자",https://www.sejong.ac.kr/kor/college/food-science-and-biotechnology.do
4,2,전공선택,식품물성학,"물성측정, 텍스처, 분석",https://www.sejong.ac.kr/kor/college/food-science-and-biotechnology.do
4,2,전공선택,향미화학및관능평가,"향미, 맛분석, 관능검사",https://www.sejong.ac.kr/kor/college/food-science-and-biotechnology.do
4,2,전공선택,식품생물공학,"바이오, 유전공학, 생명공학",https://www.sejong.ac.kr/kor/college/food-science-and-biotechnology.do
4,2,전공선택,식품효소공학,"효소이용, 반응공학",https://www.sejong.ac.kr/kor/college/food-science-and-biotechnology.do
4,2,전공선택,식품품질보증학,"QA, 품질보증, 규격관리",https://www.sejong.ac.kr/kor/college/food-science-and-biotechnology.do
4,2,전공선택,최신식품동향연구,"푸드테크, 최신기술, 연구",https://www.sejong.ac.kr/kor/college/food-science-and-biotechnology.do
4,2,전공선택,산학인턴십 프로그램,"인턴십, 실무체험, 현장실습",https://www.sejong.ac.kr/kor/college/food-science-and-biotechnology.do
