학년,학기,이수구분,과목명,키워드,URL
1,1,중핵필수,English Listening Practice 1,영어， 청취， 외국어,https://www.sejong.ac.kr/kor/college/mathematics-and-statistics.do
1,1,중핵필수,서양철학:쟁점과토론,철학， 인문학， 토론,https://www.sejong.ac.kr/kor/college/mathematics-and-statistics.do
1,1,중핵필수,대학생활과진로설계1,진로， 대학생활,https://www.sejong.ac.kr/kor/college/mathematics-and-statistics.do
1,1,중핵필수선택,소프트웨어기초코딩,SW， 코딩， 프로그래밍,https://www.sejong.ac.kr/kor/college/mathematics-and-statistics.do
1,1,전공기초교양,일반수미적분학,미적분， 기초수학,https://www.sejong.ac.kr/kor/college/mathematics-and-statistics.do
1,2,중핵필수,문제해결을위한글쓰기와발표,글쓰기， 발표， 커뮤니케이션,https://www.sejong.ac.kr/kor/college/mathematics-and-statistics.do
1,2,중핵필수,세종사회봉사1,봉사， 사회공헌,https://www.sejong.ac.kr/kor/college/mathematics-and-statistics.do
1,2,중핵필수선택,고급프로그래밍입문-P,파이썬， 코딩， 프로그래밍,https://www.sejong.ac.kr/kor/college/mathematics-and-statistics.do
1,2,전공기초교양,다변수미적분학,해석학， 다변수， 수학,https://www.sejong.ac.kr/kor/college/mathematics-and-statistics.do
1,2,전공선택,선형대수학1,행렬， 벡터， 선형대수,https://www.sejong.ac.kr/kor/college/mathematics-and-statistics.do
1,2,전공선택,통계학1,통계， 데이터분석， 기초통계,https://www.sejong.ac.kr/kor/college/mathematics-and-statistics.do
2,1,중핵필수,English Reading Practice 1,영어， 독해， 외국어,https://www.sejong.ac.kr/kor/college/mathematics-and-statistics.do
2,1,전공필수,해석학개론1,해석학， 실수계， 증명,https://www.sejong.ac.kr/kor/college/mathematics-and-statistics.do
2,1,전공필수,선형대수학2,선형변환， 고유값， 수학,https://www.sejong.ac.kr/kor/college/mathematics-and-statistics.do
2,1,전공선택,프로그래밍실습,코딩， 실습， 알고리즘,https://www.sejong.ac.kr/kor/college/mathematics-and-statistics.do
2,1,전공선택,조합론,이산수학， 조합， 경우의수,https://www.sejong.ac.kr/kor/college/mathematics-and-statistics.do
2,1,전공선택,통계학2,추론통계， 가설검정， 통계학,https://www.sejong.ac.kr/kor/college/mathematics-and-statistics.do
2,2,중핵필수선택,세계사:인간과문명,역사， 세계사， 인문학,https://www.sejong.ac.kr/kor/college/mathematics-and-statistics.do
2,2,전공필수,해석학개론2,적분， 급수， 함수열,https://www.sejong.ac.kr/kor/college/mathematics-and-statistics.do
2,2,전공선택,미분방정식,미방， 응용수학， 모델링,https://www.sejong.ac.kr/kor/college/mathematics-and-statistics.do
2,2,전공선택,확률론,확률， 확률분포， 기초통계,https://www.sejong.ac.kr/kor/college/mathematics-and-statistics.do
2,2,전공선택,수치해석,알고리즘， 근사값， 전산수학,https://www.sejong.ac.kr/kor/college/mathematics-and-statistics.do
3,1,전공필수,현대대수학1,군론， 대수구조， 수학,https://www.sejong.ac.kr/kor/college/mathematics-and-statistics.do
3,1,전공선택,미분기하학개론,곡선， 곡면， 기하학,https://www.sejong.ac.kr/kor/college/mathematics-and-statistics.do
3,1,전공선택,복소수해석학1,복소함수， 미분， 해석학,https://www.sejong.ac.kr/kor/college/mathematics-and-statistics.do
3,1,전공선택,수리통계학1,수리통계， 확률론， 이론통계,https://www.sejong.ac.kr/kor/college/mathematics-and-statistics.do
3,2,전공필수,현대대수학2,환론， 체론， 대수학,https://www.sejong.ac.kr/kor/college/mathematics-and-statistics.do
3,2,전공선택,복소수해석학2,복소적분， 해석학,https://www.sejong.ac.kr/kor/college/mathematics-and-statistics.do
3,2,전공선택,암호론,보안， 정수론， 정보보호,https://www.sejong.ac.kr/kor/college/mathematics-and-statistics.do
3,2,전공선택,수리통계학2,추정， 검정， 통계학심화,https://www.sejong.ac.kr/kor/college/mathematics-and-statistics.do
3,2,전공선택,정수론,정수， 소수， 암호기초,https://www.sejong.ac.kr/kor/college/mathematics-and-statistics.do
3,2,전공선택,응용확률론,확률과정， 응용통계,https://www.sejong.ac.kr/kor/college/mathematics-and-statistics.do
4,1,전공선택,졸업연구및진로1,졸업세미나， 진로설계,https://www.sejong.ac.kr/kor/college/mathematics-and-statistics.do
4,1,전공선택,위상수학1,위상공간， 연속성， 수학,https://www.sejong.ac.kr/kor/college/mathematics-and-statistics.do
4,1,전공선택,현대대수학특론,심화대수， 가환대수,https://www.sejong.ac.kr/kor/college/mathematics-and-statistics.do
4,1,전공선택,보험수학,보험， 금융수학기， 리스크,https://www.sejong.ac.kr/kor/college/mathematics-and-statistics.do
4,1,전공선택,전산수학실습,전산수학 코딩， 수학실습,https://www.sejong.ac.kr/kor/college/mathematics-and-statistics.do
4,1,전공선택,정보및부호이론,정보이론， 통신， 보안,https://www.sejong.ac.kr/kor/college/mathematics-and-statistics.do
4,2,전공선택,졸업연구및진로2,졸업연구 취업준비,https://www.sejong.ac.kr/kor/college/mathematics-and-statistics.do
4,2,전공선택,위상수학2,컴팩트， 연결성 심화위상,https://www.sejong.ac.kr/kor/college/mathematics-and-statistics.do
4,2,전공선택,실해석학,측도론， 르베그적분 해석학,https://www.sejong.ac.kr/kor/college/mathematics-and-statistics.do
4,2,전공선택,수학사,수학의역사， 인문학,https://www.sejong.ac.kr/kor/college/mathematics-and-statistics.do
4,2,전공선택,기계학습(종합설계),머신러닝， AI， 인공지능,https://www.sejong.ac.kr/kor/college/mathematics-and-statistics.do
