학년,학기,이수구분,과목명,키워드,URL
1,1,공통필수,세종인을위한진로설계,"진로, 세미나, 진로설계",https://www.sejong.ac.kr/kor/college/law.do
1,1,공통필수,서양철학:쟁점과토론,"철학, 인문학, 토론",https://www.sejong.ac.kr/kor/college/law.do
1,1,공통필수,대학영어,"영어, 외국어, 커뮤니케이션",https://www.sejong.ac.kr/kor/college/law.do
1,1,학문기초필수,컴퓨터사고기반기초코딩,"코딩, 파이썬, 논리적사고",https://www.sejong.ac.kr/kor/college/law.do
1,1,전공선택,법학입문,"법학기초, 법체계, 기초이론",https://www.sejong.ac.kr/kor/college/law.do
1,2,공통필수,세종인을위한전공탐색,"전공탐색, 진로",https://www.sejong.ac.kr/kor/college/law.do
1,2,공통필수,문제해결을위한글쓰기와발표,"작문, 발표, 스피치",https://www.sejong.ac.kr/kor/college/law.do
1,2,공통필수,우주자연인간,"과학철학, 자연과학, 인문",https://www.sejong.ac.kr/kor/college/law.do
1,2,학문기초필수,인공지능과빅데이터,"AI, 빅데이터, 데이터분석",https://www.sejong.ac.kr/kor/college/law.do
1,2,전공선택,인권과법,"인권, 기본권, 법과사회",https://www.sejong.ac.kr/kor/college/law.do
2,1,전공필수,헌법1,"헌법, 통치구조, 기본권",https://www.sejong.ac.kr/kor/college/law.do
2,1,전공필수,형법총론,"형법, 범죄이론, 책임",https://www.sejong.ac.kr/kor/college/law.do
2,1,전공필수,민법총칙,"민법, 권리주체, 법률행위",https://www.sejong.ac.kr/kor/college/law.do
2,1,전공선택,논리와논술,"논리, 논술, 비판적사고",https://www.sejong.ac.kr/kor/college/law.do
2,1,전공선택,상행위법,"상법, 기업거래, 상업",https://www.sejong.ac.kr/kor/college/law.do
2,1,전공선택,채권총론,"민법, 채권, 채무",https://www.sejong.ac.kr/kor/college/law.do
2,2,전공필수,계약법,"민법, 채권각론, 계약",https://www.sejong.ac.kr/kor/college/law.do
2,2,전공선택,물권법,"민법, 소유권, 점유권",https://www.sejong.ac.kr/kor/college/law.do
2,2,전공선택,헌법2,"헌법, 헌법재판, 심화",https://www.sejong.ac.kr/kor/college/law.do
2,2,전공선택,형법각론,"형법, 개별범죄, 구성요건",https://www.sejong.ac.kr/kor/college/law.do
2,2,전공선택,법철학,"철학, 법사상사, 정의론",https://www.sejong.ac.kr/kor/college/law.do
3,1,전공필수,행정법1,"행정법, 행정조직, 구제",https://www.sejong.ac.kr/kor/college/law.do
3,1,전공선택,형사소송법,"형소법, 절차법, 형사절차",https://www.sejong.ac.kr/kor/college/law.do
3,1,전공선택,국제법,"국제관계, 조약, 주권",https://www.sejong.ac.kr/kor/college/law.do
3,1,전공선택,세법,"조세, 세무, 법규",https://www.sejong.ac.kr/kor/college/law.do
3,1,전공선택,노동법,"근로기준법, 노사관계",https://www.sejong.ac.kr/kor/college/law.do
3,1,전공선택,금융법,"금융시장, 규제, 자본",https://www.sejong.ac.kr/kor/college/law.do
3,1,전공선택,LEET추리논증연습1,"LEET, 논증, 추리",https://www.sejong.ac.kr/kor/college/law.do
3,2,전공필수,회사법,"상법, 주식회사, 기업법",https://www.sejong.ac.kr/kor/college/law.do
3,2,전공필수,민사소송법,"민소법, 소송절차, 재판",https://www.sejong.ac.kr/kor/college/law.do
3,2,전공선택,환경법,"환경규제, 보전, 지속가능",https://www.sejong.ac.kr/kor/college/law.do
3,2,전공선택,친족상속법,"민법, 가족법, 상속",https://www.sejong.ac.kr/kor/college/law.do
3,2,전공선택,행정법2,"행정법, 심화, 행정구제",https://www.sejong.ac.kr/kor/college/law.do
3,2,전공선택,저작권법,"지식재산권, 저작권, 보호",https://www.sejong.ac.kr/kor/college/law.do
3,2,전공선택,LEET추리논증연습2,"LEET, 논리, 실전연습",https://www.sejong.ac.kr/kor/college/law.do
4,1,전공선택,졸업연구및진로1,"졸업논문, 연구설계, 진로",https://www.sejong.ac.kr/kor/college/law.do
4,1,전공선택,공정거래법,"경쟁법, 독과점, 규제",https://www.sejong.ac.kr/kor/college/law.do
4,1,전공선택,불법행위법,"민법, 손해배상, 책임",https://www.sejong.ac.kr/kor/college/law.do
4,1,전공선택,유가증권법,"어음, 수표, 자본시장",https://www.sejong.ac.kr/kor/college/law.do
4,1,전공선택,LEET언어이해연습1,"LEET, 언어이해, 독해",https://www.sejong.ac.kr/kor/college/law.do
4,2,전공선택,졸업연구및진로2,"최종졸업연구, 포트폴리오",https://www.sejong.ac.kr/kor/college/law.do
4,2,전공선택,국제통상법,"무역, WTO, 국제경제법",https://www.sejong.ac.kr/kor/college/law.do
4,2,전공선택,도산법,"파산, 회생, 기업회생",https://www.sejong.ac.kr/kor/college/law.do
4,2,전공선택,신탁법과인수금융,"신탁, M&A금융, 투자",https://www.sejong.ac.kr/kor/college/law.do
4,2,전공선택,자본시장과은행법,"금융법, 자본시장법, 은행",https://www.sejong.ac.kr/kor/college/law.do
4,2,전공선택,LEET언어이해연습2,"LEET, 심화독해, 실전",https://www.sejong.ac.kr/kor/college/law.do
